feature,hits,stability_pct,group
z_vl_dist_load_rms,12,100.0,EMG/kin
z_vl_prox_rest_e_d4,12,100.0,EMG/kin
z_vl_prox_load_mdf,12,100.0,EMG/kin
z_vl_prox_load_mnf,12,100.0,EMG/kin
z_vl_prox_load_p_low,12,100.0,EMG/kin
z_vl_prox_load_e_d2,12,100.0,EMG/kin
z_vl_prox_load_e_d4,12,100.0,EMG/kin
z_vl_prox_load_wavelet_entropy,12,100.0,EMG/kin
z_vl_prox_load_ratio_low_high,12,100.0,EMG/kin
z_vl_prox_rest_wl,12,100.0,EMG/kin
z_vl_prox_rest_mdf,12,100.0,EMG/kin
z_vl_prox_rest_p_mid,12,100.0,EMG/kin
z_vl_prox_rest_p_high,12,100.0,EMG/kin
z_vl_prox_rest_ratio_mid_high,12,100.0,EMG/kin
z_vl_prox_rest_e_d2,12,100.0,EMG/kin
z_vl_prox_rest_e_d3,12,100.0,EMG/kin
z_vl_prox_rest_e_d5,12,100.0,EMG/kin
z_vl_prox_load_wl,12,100.0,EMG/kin
z_vl_prox_rest_wavelet_entropy,12,100.0,EMG/kin
z_vl_prox_rest_ratio_low_high,12,100.0,EMG/kin
z_vl_dist_load_rms_cv,12,100.0,EMG/kin
z_vl_prox_load_rms_cv,12,100.0,EMG/kin
z_vl_prox_rest_rms_cv,12,100.0,EMG/kin
z_cadence_cv,12,100.0,EMG/kin
z_load_duration_ms,12,100.0,EMG/kin
z_rest_duration_ms,12,100.0,EMG/kin
z_load_rest_ratio,12,100.0,EMG/kin
z_load_duration_cv,12,100.0,EMG/kin
z_rest_duration_cv,12,100.0,EMG/kin
z_load_trend_cv_ratio_30s,12,100.0,EMG/kin
z_rest_trend_cv_ratio_30s,12,100.0,EMG/kin
z_load_sampen_30s,12,100.0,EMG/kin
z_vl_prox_load_zcr,12,100.0,EMG/kin
z_vl_prox_load_p_mid,12,100.0,EMG/kin
z_vl_prox_load_mav,12,100.0,EMG/kin
z_vl_dist_load_wavelet_entropy,12,100.0,EMG/kin
z_vl_dist_load_e_d5,12,100.0,EMG/kin
z_vl_dist_rest_mav,12,100.0,EMG/kin
z_vl_dist_rest_wl,12,100.0,EMG/kin
z_vl_dist_rest_zcr,12,100.0,EMG/kin
z_vl_dist_rest_mdf,12,100.0,EMG/kin
z_vl_prox_load_rms,12,100.0,EMG/kin
z_vl_dist_rest_p_low,12,100.0,EMG/kin
z_vl_dist_load_e_d3,12,100.0,EMG/kin
z_vl_dist_rest_p_mid,12,100.0,EMG/kin
z_vl_dist_load_e_d2,12,100.0,EMG/kin
z_vl_dist_rest_p_high,12,100.0,EMG/kin
z_vl_dist_load_ratio_mid_high,12,100.0,EMG/kin
z_vl_dist_load_p_high,12,100.0,EMG/kin
z_vl_dist_rest_ratio_mid_high,12,100.0,EMG/kin
z_vl_dist_rest_e_d2,12,100.0,EMG/kin
z_vl_dist_load_p_mid,12,100.0,EMG/kin
z_vl_dist_rest_e_d3,12,100.0,EMG/kin
z_vl_dist_load_p_low,12,100.0,EMG/kin
z_vl_dist_rest_e_d4,12,100.0,EMG/kin
z_vl_dist_load_mnf,12,100.0,EMG/kin
z_vl_dist_load_mdf,12,100.0,EMG/kin
z_vl_dist_load_zcr,12,100.0,EMG/kin
z_vl_dist_rest_e_d5,12,100.0,EMG/kin
z_vl_dist_rest_ratio_low_high,12,100.0,EMG/kin
z_vl_dist_load_ratio_low_high,12,100.0,EMG/kin
z_vl_dist_rest_rms_cv,11,91.7,EMG/kin
z_vl_dist_load_wl,11,91.7,EMG/kin
z_vl_dist_rest_mnf,11,91.7,EMG/kin
z_vl_prox_rest_p_low,11,91.7,EMG/kin
z_vl_prox_rest_mnf,11,91.7,EMG/kin
z_vl_prox_rest_zcr,11,91.7,EMG/kin
z_vl_prox_rest_rms,11,91.7,EMG/kin
z_vl_prox_load_e_d5,11,91.7,EMG/kin
z_vl_prox_load_e_d3,11,91.7,EMG/kin
z_vl_prox_load_ratio_mid_high,11,91.7,EMG/kin
z_vl_prox_load_p_high,11,91.7,EMG/kin
z_vl_dist_load_mav,11,91.7,EMG/kin
z_vl_dist_rest_wavelet_entropy,11,91.7,EMG/kin
z_rest_sampen_30s,11,91.7,EMG/kin
z_vl_dist_load_e_d4,10,83.3,EMG/kin
z_vl_prox_rest_mav,10,83.3,EMG/kin
z_vl_dist_rest_rms,9,75.0,EMG/kin
z_cadence_mean_rpm,9,75.0,EMG/kin
