feature,hits,stability_pct,group
trainred_smo2_mean,17,100.0,NIRS
trainred_smo2_drop,17,100.0,NIRS
hhb_from_running_min,17,100.0,NIRS
smo2_from_running_max,17,100.0,NIRS
trainred_thb_std,17,100.0,NIRS
trainred_thb_slope,17,100.0,NIRS
trainred_thb_mean,17,100.0,NIRS
trainred_hbdiff_std,17,100.0,NIRS
trainred_hbdiff_slope,17,100.0,NIRS
trainred_hbdiff_mean,17,100.0,NIRS
trainred_dhhb_dt,17,100.0,NIRS
trainred_hhb_std,17,100.0,NIRS
trainred_hhb_slope,17,100.0,NIRS
trainred_hhb_mean,17,100.0,NIRS
trainred_dsmo2_dt,17,100.0,NIRS
trainred_smo2_std,17,100.0,NIRS
trainred_smo2_slope,17,100.0,NIRS
smo2_rel_drop_pct,17,100.0,NIRS
