feature_set,target,alpha_sel,model,n_subjects,n_features_in,avg_selected,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt1,0.01,"GBM(n=100,d=2)",14,79,78.6,2.8302,2.6701,0.701,0.859,56.6
EMG,lt1,0.01,"GBM(n=200,d=2)",14,79,78.6,2.8716,2.7043,0.695,0.856,94.3
EMG,lt1,0.01,"EN(α=1.0,l1=0.2)",14,79,78.6,2.8604,2.7347,0.714,0.87,9.0
EMG,lt1,0.01,"EN(α=1.0,l1=0.5)",14,79,78.6,2.8729,2.736,0.712,0.868,8.8
EMG,lt1,0.01,Ridge(α=1000),14,79,78.6,2.8978,2.7511,0.707,0.865,8.3
EMG,lt1,0.01,"EN(α=0.1,l1=0.2)",14,79,78.6,2.9802,2.8007,0.687,0.852,9.8
EMG,lt1,0.01,"EN(α=0.1,l1=0.5)",14,79,78.6,3.0059,2.8154,0.681,0.848,10.1
EMG,lt1,0.01,Ridge(α=100),14,79,78.6,3.0326,2.8333,0.675,0.845,8.5
EMG,lt1,0.01,"EN(α=0.01,l1=0.2)",14,79,78.6,3.1178,2.9016,0.656,0.833,13.2
EMG,lt1,0.01,"EN(α=0.01,l1=0.5)",14,79,78.6,3.1404,2.9229,0.651,0.83,13.7
EMG,lt1,0.01,Ridge(α=10),14,79,78.6,3.1622,2.9408,0.646,0.827,8.6
EMG,lt1,0.01,Ridge(α=1),14,79,78.6,3.2388,2.9996,0.626,0.817,8.5
EMG,lt1,0.05,"GBM(n=100,d=2)",14,79,77.7,2.8084,2.6404,0.705,0.861,51.2
EMG,lt1,0.05,"GBM(n=200,d=2)",14,79,77.7,2.8283,2.6498,0.703,0.86,89.9
EMG,lt1,0.05,"EN(α=1.0,l1=0.2)",14,79,77.7,2.8585,2.7334,0.714,0.871,4.3
EMG,lt1,0.05,"EN(α=1.0,l1=0.5)",14,79,77.7,2.871,2.7346,0.712,0.869,4.2
