sigma_p,sigma_obs,kalman_mae,r2,rho,feature_set,target
5,30,3.019,0.643,0.834,EMG,lt2
5,60,2.9871,0.644,0.836,EMG,lt2
5,100,2.9942,0.641,0.835,EMG,lt2
5,150,3.0305,0.635,0.83,EMG,lt2
5,200,3.0716,0.629,0.825,EMG,lt2
5,300,3.1611,0.617,0.816,EMG,lt2
5,500,3.3081,0.597,0.805,EMG,lt2
10,30,3.0633,0.638,0.83,EMG,lt2
10,60,3.019,0.643,0.834,EMG,lt2
10,100,2.9928,0.645,0.836,EMG,lt2
10,150,2.9854,0.643,0.836,EMG,lt2
10,200,2.9942,0.641,0.835,EMG,lt2
10,300,3.0305,0.635,0.83,EMG,lt2
10,500,3.1167,0.623,0.82,EMG,lt2
15,30,3.0848,0.634,0.828,EMG,lt2
15,60,3.0451,0.64,0.832,EMG,lt2
15,100,3.0127,0.644,0.835,EMG,lt2
15,150,2.9928,0.645,0.836,EMG,lt2
15,200,2.9853,0.644,0.836,EMG,lt2
15,300,2.9942,0.641,0.835,EMG,lt2
15,500,3.0439,0.633,0.828,EMG,lt2
25,30,3.1054,0.631,0.826,EMG,lt2
25,60,3.0758,0.636,0.829,EMG,lt2
25,100,3.0451,0.64,0.832,EMG,lt2
25,150,3.019,0.643,0.834,EMG,lt2
25,200,3.0028,0.644,0.836,EMG,lt2
25,300,2.9871,0.644,0.836,EMG,lt2
25,500,2.9942,0.641,0.835,EMG,lt2
40,30,3.118,0.629,0.824,EMG,lt2
40,60,3.0976,0.632,0.827,EMG,lt2
40,100,3.0737,0.636,0.829,EMG,lt2
40,150,3.0494,0.64,0.832,EMG,lt2
40,200,3.0306,0.642,0.833,EMG,lt2
40,300,3.0061,0.644,0.835,EMG,lt2
40,500,2.9862,0.644,0.836,EMG,lt2
60,30,3.1247,0.627,0.824,EMG,lt2
60,60,3.1108,0.63,0.825,EMG,lt2
60,100,3.0933,0.633,0.827,EMG,lt2
60,150,3.0737,0.636,0.829,EMG,lt2
60,200,3.0568,0.639,0.831,EMG,lt2
60,300,3.0306,0.642,0.833,EMG,lt2
60,500,3.0008,0.644,0.836,EMG,lt2
90,30,3.1286,0.626,0.823,EMG,lt2
90,60,3.1203,0.628,0.824,EMG,lt2
90,100,3.1077,0.63,0.825,EMG,lt2
90,150,3.0933,0.633,0.827,EMG,lt2
90,200,3.0796,0.635,0.829,EMG,lt2
90,300,3.0568,0.639,0.831,EMG,lt2
90,500,3.0239,0.643,0.834,EMG,lt2
5,30,4.2333,0.347,0.582,NIRS,lt2
5,60,4.21,0.354,0.595,NIRS,lt2
5,100,4.1794,0.362,0.617,NIRS,lt2
5,150,4.1404,0.372,0.64,NIRS,lt2
5,200,4.107,0.378,0.662,NIRS,lt2
