feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS+HRV,lt2,"GBM(n=50,d=3)",19,103,2.1357,2.0955,0.853,0.925,66.5
EMG+NIRS+HRV,lt1,"EN(α=1.0,l1=0.5)",14,103,2.274,2.1739,0.818,0.917,1.1
HRV,lt2,"EN(α=0.1,l1=0.2)",19,7,2.2639,2.2401,0.816,0.911,0.2
EMG+NIRS,lt1,"EN(α=1.0,l1=0.9)",14,94,2.6746,2.4764,0.75,0.882,1.1
HRV,lt1,Huber(ε=2.0),14,7,2.5942,2.662,0.742,0.861,0.2
EMG,lt1,"GBM(n=100,d=2)",14,79,2.8314,2.6718,0.701,0.859,40.5
EMG+NIRS,lt2,"EN(α=1.0,l1=0.2)",19,94,2.9957,2.8415,0.647,0.827,1.6
EMG,lt2,"EN(α=1.0,l1=0.2)",19,79,3.1332,2.9928,0.625,0.823,1.3
NIRS,lt1,"EN(α=1.0,l1=0.5)",14,15,4.4707,4.3621,0.306,0.62,0.1
NIRS,lt2,"SVR(C=10,ε=0.1)",19,15,4.5005,4.4342,0.282,0.515,6.1
