feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt2,Ridge(α=1),19,79,3.4299,3.165,0.545,0.772,0.7
EMG,lt2,Ridge(α=10),19,79,3.4017,3.1528,0.556,0.776,0.7
EMG,lt2,Ridge(α=100),19,79,3.2893,3.0777,0.588,0.795,0.7
EMG,lt2,Ridge(α=1000),19,79,3.1731,3.0095,0.619,0.817,0.7
EMG,lt2,Huber(ε=1.1),19,79,3.3245,3.0863,0.565,0.783,6.6
EMG,lt2,Huber(ε=1.35),19,79,3.351,3.0977,0.556,0.778,5.9
EMG,lt2,Huber(ε=1.5),19,79,3.3678,3.1134,0.553,0.778,5.8
EMG,lt2,Huber(ε=2.0),19,79,3.4194,3.1579,0.546,0.773,5.9
EMG,lt2,"EN(α=0.01,l1=0.2)",19,79,3.3579,3.1231,0.569,0.783,7.8
EMG,lt2,"EN(α=0.01,l1=0.5)",19,79,3.3785,3.138,0.562,0.78,8.8
EMG,lt2,"EN(α=0.01,l1=0.9)",19,79,3.4225,3.1632,0.549,0.773,10.5
EMG,lt2,"EN(α=0.1,l1=0.2)",19,79,3.2321,3.0451,0.603,0.806,2.9
EMG,lt2,"EN(α=0.1,l1=0.5)",19,79,3.256,3.0585,0.597,0.801,3.2
EMG,lt2,"EN(α=0.1,l1=0.9)",19,79,3.3342,3.1056,0.575,0.787,4.4
EMG,lt2,"EN(α=1.0,l1=0.2)",19,79,3.1332,2.9928,0.625,0.823,1.3
EMG,lt2,"EN(α=1.0,l1=0.5)",19,79,3.1448,2.9953,0.625,0.821,1.5
EMG,lt2,"EN(α=1.0,l1=0.9)",19,79,3.198,3.0231,0.612,0.812,1.4
EMG,lt2,"GBM(n=50,d=2)",19,79,3.2511,3.0995,0.583,0.799,37.4
EMG,lt2,"GBM(n=50,d=3)",19,79,3.3296,3.1726,0.568,0.79,51.3
EMG,lt2,"GBM(n=100,d=2)",19,79,3.3209,3.1526,0.576,0.794,67.6
EMG,lt2,"GBM(n=100,d=3)",19,79,3.4059,3.2284,0.552,0.778,95.9
EMG,lt2,"GBM(n=200,d=2)",19,79,3.4003,3.2173,0.558,0.785,128.7
