feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS+HRV,lt1,"GBM(n=100,d=2)",14,97,2.4298,2.2754,0.773,0.887,54.1
EMG+NIRS,lt1,"GBM(n=100,d=2)",14,90,2.5203,2.2905,0.763,0.883,47.4
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.5)",19,97,2.5809,2.4226,0.761,0.882,3.9
EMG+NIRS,lt2,"GBM(n=100,d=2)",19,90,2.8883,2.6645,0.672,0.834,77.2
EMG,lt1,"GBM(n=100,d=2)",14,79,2.8314,2.6718,0.701,0.859,43.5
HRV,lt2,Huber(ε=1.5),19,6,2.9078,2.8446,0.667,0.844,0.4
EMG,lt2,"EN(α=1.0,l1=0.2)",19,79,3.1332,2.9928,0.625,0.823,1.1
HRV,lt1,Huber(ε=2.0),14,6,3.0017,3.0102,0.651,0.83,0.2
NIRS,lt1,"SVR(C=10,ε=1.0)",14,11,3.9531,3.8372,0.458,0.699,3.3
NIRS,lt2,"SVR(C=10,ε=0.1)",19,11,4.0906,4.0001,0.422,0.653,6.0
