feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt2,Ridge(α=1),19,79,3.4299,3.165,0.545,0.772,0.7
EMG,lt2,Ridge(α=10),19,79,3.4017,3.1528,0.556,0.776,0.6
EMG,lt2,Ridge(α=100),19,79,3.2893,3.0777,0.588,0.795,0.6
EMG,lt2,Ridge(α=1000),19,79,3.1731,3.0095,0.619,0.817,0.7
EMG,lt2,Huber(ε=1.1),19,79,3.3245,3.0863,0.565,0.783,6.1
EMG,lt2,Huber(ε=1.35),19,79,3.351,3.0977,0.556,0.778,5.5
EMG,lt2,Huber(ε=1.5),19,79,3.3678,3.1134,0.553,0.778,5.4
EMG,lt2,Huber(ε=2.0),19,79,3.4194,3.1579,0.546,0.773,5.3
EMG,lt2,"EN(α=0.01,l1=0.2)",19,79,3.3579,3.1231,0.569,0.783,7.6
EMG,lt2,"EN(α=0.01,l1=0.5)",19,79,3.3785,3.138,0.562,0.78,8.3
EMG,lt2,"EN(α=0.01,l1=0.9)",19,79,3.4225,3.1632,0.549,0.773,10.0
EMG,lt2,"EN(α=0.1,l1=0.2)",19,79,3.2321,3.0451,0.603,0.806,2.8
EMG,lt2,"EN(α=0.1,l1=0.5)",19,79,3.256,3.0585,0.597,0.801,2.9
EMG,lt2,"EN(α=0.1,l1=0.9)",19,79,3.3342,3.1056,0.575,0.787,4.2
EMG,lt2,"EN(α=1.0,l1=0.2)",19,79,3.1332,2.9928,0.625,0.823,1.1
EMG,lt2,"EN(α=1.0,l1=0.5)",19,79,3.1448,2.9953,0.625,0.821,1.3
EMG,lt2,"EN(α=1.0,l1=0.9)",19,79,3.198,3.0231,0.612,0.812,1.3
EMG,lt2,"GBM(n=50,d=2)",19,79,3.2511,3.0995,0.583,0.799,37.1
EMG,lt2,"GBM(n=50,d=3)",19,79,3.3296,3.1726,0.568,0.79,51.1
EMG,lt2,"GBM(n=100,d=2)",19,79,3.3209,3.1526,0.576,0.794,67.4
EMG,lt2,"GBM(n=100,d=3)",19,79,3.4059,3.2284,0.552,0.778,95.3
EMG,lt2,"GBM(n=200,d=2)",19,79,3.4003,3.2173,0.558,0.785,127.8
EMG,lt2,"GBM(n=200,d=3)",19,79,3.4789,3.2853,0.539,0.77,184.1
EMG,lt2,"SVR(C=1,ε=0.1)",19,79,4.1784,4.1762,0.303,0.723,10.0
EMG,lt2,"SVR(C=1,ε=1.0)",19,79,4.1786,4.1764,0.303,0.723,10.1
EMG,lt2,"SVR(C=10,ε=0.1)",19,79,3.4549,3.325,0.506,0.767,10.0
EMG,lt2,"SVR(C=10,ε=1.0)",19,79,3.4538,3.3241,0.507,0.767,9.7
EMG,lt2,"SVR(C=100,ε=0.1)",19,79,3.3971,3.1994,0.54,0.775,10.4
EMG,lt2,"SVR(C=100,ε=1.0)",19,79,3.3973,3.1996,0.54,0.775,9.1
NIRS,lt2,Ridge(α=1),19,11,4.5509,4.3027,0.272,0.55,0.2
NIRS,lt2,Ridge(α=10),19,11,4.5447,4.2992,0.273,0.55,0.2
NIRS,lt2,Ridge(α=100),19,11,4.4997,4.2746,0.281,0.55,0.2
NIRS,lt2,Ridge(α=1000),19,11,4.5045,4.3638,0.264,0.535,0.2
NIRS,lt2,Huber(ε=1.1),19,11,4.5317,4.3104,0.272,0.553,0.4
NIRS,lt2,Huber(ε=1.35),19,11,4.5446,4.311,0.271,0.55,0.3
NIRS,lt2,Huber(ε=1.5),19,11,4.542,4.305,0.273,0.55,0.3
NIRS,lt2,Huber(ε=2.0),19,11,4.5528,4.3076,0.271,0.549,0.3
NIRS,lt2,"EN(α=0.01,l1=0.2)",19,11,4.5331,4.2928,0.275,0.55,0.4
NIRS,lt2,"EN(α=0.01,l1=0.5)",19,11,4.5396,4.2964,0.274,0.55,0.5
NIRS,lt2,"EN(α=0.01,l1=0.9)",19,11,4.549,4.3016,0.272,0.55,1.3
NIRS,lt2,"EN(α=0.1,l1=0.2)",19,11,4.4605,4.2668,0.286,0.549,0.2
NIRS,lt2,"EN(α=0.1,l1=0.5)",19,11,4.4763,4.2661,0.284,0.55,0.2
NIRS,lt2,"EN(α=0.1,l1=0.9)",19,11,4.5285,4.2906,0.276,0.55,0.3
NIRS,lt2,"EN(α=1.0,l1=0.2)",19,11,4.7097,4.6235,0.197,0.503,0.2
NIRS,lt2,"EN(α=1.0,l1=0.5)",19,11,4.5938,4.4835,0.234,0.522,0.2
NIRS,lt2,"EN(α=1.0,l1=0.9)",19,11,4.4633,4.2795,0.284,0.546,0.2
NIRS,lt2,"GBM(n=50,d=2)",19,11,4.4589,4.2517,0.355,0.565,6.3
NIRS,lt2,"GBM(n=50,d=3)",19,11,4.5446,4.2758,0.338,0.559,8.5
NIRS,lt2,"GBM(n=100,d=2)",19,11,4.4995,4.2579,0.342,0.573,11.0
NIRS,lt2,"GBM(n=100,d=3)",19,11,4.6389,4.3335,0.305,0.545,15.0
NIRS,lt2,"GBM(n=200,d=2)",19,11,4.6506,4.3648,0.302,0.559,19.8
NIRS,lt2,"GBM(n=200,d=3)",19,11,4.8296,4.4779,0.251,0.525,27.3
NIRS,lt2,"SVR(C=1,ε=0.1)",19,11,4.9806,4.975,0.114,0.481,6.0
