variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,6.2373,-1.258
with_abs,EMG,lt1,S002,3.26,-0.009
with_abs,EMG,lt1,S003,7.2255,-0.14
with_abs,EMG,lt1,S004,6.0624,-2.159
with_abs,EMG,lt1,S005,4.4622,0.321
with_abs,EMG,lt1,S007,3.8441,0.273
with_abs,EMG,lt1,S008,4.0497,-0.88
with_abs,EMG,lt1,S009,7.3475,0.04
with_abs,EMG,lt1,S010,8.1965,-0.729
with_abs,EMG,lt1,S011,4.5115,-0.625
with_abs,EMG,lt1,S012,4.5678,-0.983
with_abs,EMG,lt1,S013,9.0814,-1.569
with_abs,EMG,lt1,S014,10.3411,-3.09
with_abs,EMG,lt1,S016,8.471,-3.334
with_abs,EMG,lt1,S017,5.2389,-0.431
with_abs,EMG,lt1,S018,4.8377,-0.285
with_abs,EMG,lt1,S019,10.1367,-1.467
noabs,EMG,lt1,S001,6.3937,-1.384
noabs,EMG,lt1,S002,3.4013,-0.14
noabs,EMG,lt1,S003,7.0978,-0.194
noabs,EMG,lt1,S004,5.7356,-1.905
noabs,EMG,lt1,S005,4.8871,0.186
noabs,EMG,lt1,S007,3.8794,0.25
noabs,EMG,lt1,S008,3.5262,-0.376
noabs,EMG,lt1,S009,7.0564,0.1
noabs,EMG,lt1,S010,5.3883,0.114
noabs,EMG,lt1,S011,4.6587,-0.734
noabs,EMG,lt1,S012,4.2199,-0.699
noabs,EMG,lt1,S013,9.6427,-1.838
noabs,EMG,lt1,S014,10.3023,-3.163
noabs,EMG,lt1,S016,7.0826,-2.204
noabs,EMG,lt1,S017,4.614,-0.024
noabs,EMG,lt1,S018,4.4769,-0.175
noabs,EMG,lt1,S019,10.3446,-1.59
with_abs,NIRS,lt1,S001,4.638,0.164
with_abs,NIRS,lt1,S002,4.8347,-1.401
with_abs,NIRS,lt1,S003,11.7959,-1.593
with_abs,NIRS,lt1,S004,5.3686,-1.471
with_abs,NIRS,lt1,S005,5.7726,-0.148
with_abs,NIRS,lt1,S007,5.1803,-0.263
with_abs,NIRS,lt1,S008,7.2703,-4.026
with_abs,NIRS,lt1,S009,4.6981,0.392
with_abs,NIRS,lt1,S010,4.7285,0.547
with_abs,NIRS,lt1,S011,4.6709,-0.68
with_abs,NIRS,lt1,S012,3.3533,-0.02
with_abs,NIRS,lt1,S013,3.8863,0.557
with_abs,NIRS,lt1,S014,6.8711,-1.05
with_abs,NIRS,lt1,S016,5.7271,-1.135
with_abs,NIRS,lt1,S017,4.1996,0.115
with_abs,NIRS,lt1,S018,5.1021,-0.415
with_abs,NIRS,lt1,S019,10.4792,-1.169
noabs,NIRS,lt1,S001,8.0383,-1.828
noabs,NIRS,lt1,S002,6.0666,-2.464
noabs,NIRS,lt1,S003,13.8503,-2.445
noabs,NIRS,lt1,S004,8.7368,-4.39
noabs,NIRS,lt1,S005,4.5048,0.112
noabs,NIRS,lt1,S007,6.4858,-1.074
noabs,NIRS,lt1,S008,4.3491,-1.198
noabs,NIRS,lt1,S009,6.7375,0.065
noabs,NIRS,lt1,S010,5.9201,0.255
noabs,NIRS,lt1,S011,5.1358,-1.173
noabs,NIRS,lt1,S012,3.4636,-0.072
noabs,NIRS,lt1,S013,4.2142,0.203
noabs,NIRS,lt1,S014,4.9301,-0.168
noabs,NIRS,lt1,S016,4.5579,-0.41
noabs,NIRS,lt1,S017,4.5783,0.029
noabs,NIRS,lt1,S018,6.0575,-1.084
noabs,NIRS,lt1,S019,9.4692,-0.795
with_abs,EMG+NIRS,lt1,S001,6.0648,-1.357
with_abs,EMG+NIRS,lt1,S002,4.0832,-0.773
with_abs,EMG+NIRS,lt1,S003,7.2903,-0.277
with_abs,EMG+NIRS,lt1,S004,6.8558,-2.717
with_abs,EMG+NIRS,lt1,S005,4.0496,0.493
with_abs,EMG+NIRS,lt1,S007,3.7538,0.237
with_abs,EMG+NIRS,lt1,S008,3.8259,-0.664
with_abs,EMG+NIRS,lt1,S009,5.5623,0.457
with_abs,EMG+NIRS,lt1,S010,6.0793,-0.084
with_abs,EMG+NIRS,lt1,S011,4.7759,-0.914
with_abs,EMG+NIRS,lt1,S012,3.7037,-0.307
with_abs,EMG+NIRS,lt1,S013,8.0861,-1.513
with_abs,EMG+NIRS,lt1,S014,9.1739,-2.654
with_abs,EMG+NIRS,lt1,S016,7.8214,-2.777
with_abs,EMG+NIRS,lt1,S017,4.7659,-0.123
with_abs,EMG+NIRS,lt1,S018,4.812,-0.382
with_abs,EMG+NIRS,lt1,S019,11.1761,-1.96
noabs,EMG+NIRS,lt1,S001,5.8638,-1.085
noabs,EMG+NIRS,lt1,S002,3.2563,-0.006
noabs,EMG+NIRS,lt1,S003,7.0781,-0.184
noabs,EMG+NIRS,lt1,S004,5.15,-1.279
noabs,EMG+NIRS,lt1,S005,3.9228,0.509
noabs,EMG+NIRS,lt1,S007,3.4672,0.366
noabs,EMG+NIRS,lt1,S008,3.5855,-0.429
noabs,EMG+NIRS,lt1,S009,6.0467,0.359
noabs,EMG+NIRS,lt1,S010,5.5684,0.18
noabs,EMG+NIRS,lt1,S011,5.0425,-1.129
noabs,EMG+NIRS,lt1,S012,4.4611,-0.897
noabs,EMG+NIRS,lt1,S013,8.1039,-1.403
noabs,EMG+NIRS,lt1,S014,9.6712,-2.858
noabs,EMG+NIRS,lt1,S016,8.2524,-3.129
noabs,EMG+NIRS,lt1,S017,4.4562,0.035
noabs,EMG+NIRS,lt1,S018,4.7384,-0.402
noabs,EMG+NIRS,lt1,S019,9.5227,-1.243
with_abs,EMG+NIRS+HRV,lt1,S001,5.9581,-1.383
with_abs,EMG+NIRS+HRV,lt1,S002,3.2724,-0.02
with_abs,EMG+NIRS+HRV,lt1,S003,9.3614,-1.004
with_abs,EMG+NIRS+HRV,lt1,S004,5.7464,-1.848
with_abs,EMG+NIRS+HRV,lt1,S005,4.465,0.194
with_abs,EMG+NIRS+HRV,lt1,S007,4.0396,0.249
with_abs,EMG+NIRS+HRV,lt1,S008,4.2731,-1.086
with_abs,EMG+NIRS+HRV,lt1,S009,6.2632,0.341
with_abs,EMG+NIRS+HRV,lt1,S010,7.2724,-0.327
with_abs,EMG+NIRS+HRV,lt1,S011,4.583,-0.842
with_abs,EMG+NIRS+HRV,lt1,S012,3.6769,-0.242
with_abs,EMG+NIRS+HRV,lt1,S013,6.4846,-0.737
with_abs,EMG+NIRS+HRV,lt1,S014,8.9739,-2.598
with_abs,EMG+NIRS+HRV,lt1,S016,9.3976,-4.139
with_abs,EMG+NIRS+HRV,lt1,S017,4.384,0.115
with_abs,EMG+NIRS+HRV,lt1,S018,4.6693,-0.231
with_abs,EMG+NIRS+HRV,lt1,S019,6.2082,-0.074
noabs,EMG+NIRS+HRV,lt1,S001,6.1536,-1.801
noabs,EMG+NIRS+HRV,lt1,S002,3.3135,-0.059
noabs,EMG+NIRS+HRV,lt1,S003,9.0177,-0.864
noabs,EMG+NIRS+HRV,lt1,S004,4.8458,-1.075
noabs,EMG+NIRS+HRV,lt1,S005,4.5355,0.21
noabs,EMG+NIRS+HRV,lt1,S007,3.9915,0.257
noabs,EMG+NIRS+HRV,lt1,S008,4.6334,-1.435
noabs,EMG+NIRS+HRV,lt1,S009,5.3935,0.512
noabs,EMG+NIRS+HRV,lt1,S010,6.0865,0.047
noabs,EMG+NIRS+HRV,lt1,S011,4.7224,-0.928
noabs,EMG+NIRS+HRV,lt1,S012,4.8147,-1.188
noabs,EMG+NIRS+HRV,lt1,S013,7.2995,-1.366
noabs,EMG+NIRS+HRV,lt1,S014,8.1912,-2.072
noabs,EMG+NIRS+HRV,lt1,S016,9.095,-3.727
noabs,EMG+NIRS+HRV,lt1,S017,4.0131,0.281
noabs,EMG+NIRS+HRV,lt1,S018,4.8809,-0.405
noabs,EMG+NIRS+HRV,lt1,S019,7.3905,-0.402
