variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,7.038,-2.223
with_abs,EMG,lt1,S002,3.2518,-0.002
with_abs,EMG,lt1,S003,7.3047,-0.171
with_abs,EMG,lt1,S004,4.6377,-1.001
with_abs,EMG,lt1,S005,4.2699,0.41
with_abs,EMG,lt1,S006,4.936,-2.041
with_abs,EMG,lt1,S007,3.6395,0.305
with_abs,EMG,lt1,S008,3.2488,-0.119
with_abs,EMG,lt1,S009,6.8479,-0.101
with_abs,EMG,lt1,S010,8.5299,-0.676
with_abs,EMG,lt1,S011,4.5959,-0.554
with_abs,EMG,lt1,S012,5.2684,-1.705
with_abs,EMG,lt1,S013,10.8286,-2.55
with_abs,EMG,lt1,S014,9.0854,-2.125
with_abs,EMG,lt1,S016,5.8233,-1.277
with_abs,EMG,lt1,S017,4.1775,0.204
with_abs,EMG,lt1,S018,4.4812,-0.189
with_abs,EMG,lt1,S019,10.3514,-1.036
noabs,EMG,lt1,S001,7.0408,-1.902
noabs,EMG,lt1,S002,3.2482,-0.001
noabs,EMG,lt1,S003,7.8869,-0.425
noabs,EMG,lt1,S004,6.2236,-2.001
noabs,EMG,lt1,S005,4.9931,-0.075
noabs,EMG,lt1,S006,5.3938,-2.509
noabs,EMG,lt1,S007,3.4869,0.344
noabs,EMG,lt1,S008,3.1133,0.011
noabs,EMG,lt1,S009,6.879,0.024
noabs,EMG,lt1,S010,7.5942,-0.305
noabs,EMG,lt1,S011,5.0047,-0.811
noabs,EMG,lt1,S012,5.5407,-1.852
noabs,EMG,lt1,S013,9.814,-1.938
noabs,EMG,lt1,S014,9.5102,-2.691
noabs,EMG,lt1,S016,5.7924,-1.348
noabs,EMG,lt1,S017,3.7546,0.337
noabs,EMG,lt1,S018,4.5553,-0.249
noabs,EMG,lt1,S019,11.6667,-1.634
with_abs,NIRS,lt1,S001,4.705,0.04
with_abs,NIRS,lt1,S002,3.7261,-0.442
with_abs,NIRS,lt1,S003,11.3279,-1.335
with_abs,NIRS,lt1,S004,5.6255,-1.535
with_abs,NIRS,lt1,S005,3.5033,0.556
with_abs,NIRS,lt1,S006,5.109,-2.218
with_abs,NIRS,lt1,S007,6.1402,-0.842
with_abs,NIRS,lt1,S008,5.2046,-2.021
with_abs,NIRS,lt1,S009,5.7873,0.387
with_abs,NIRS,lt1,S010,4.8743,0.505
with_abs,NIRS,lt1,S011,7.4203,-2.572
with_abs,NIRS,lt1,S012,4.4468,-1.062
with_abs,NIRS,lt1,S013,3.7211,0.533
with_abs,NIRS,lt1,S014,4.9072,-0.295
with_abs,NIRS,lt1,S016,5.5991,-1.158
with_abs,NIRS,lt1,S017,4.7945,-0.102
with_abs,NIRS,lt1,S018,5.404,-0.566
with_abs,NIRS,lt1,S019,10.0207,-0.983
noabs,NIRS,lt1,S001,4.8228,-0.255
noabs,NIRS,lt1,S002,7.4587,-3.889
