variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,7.3065,-2.41
with_abs,EMG,lt1,S002,3.8937,-0.557
with_abs,EMG,lt1,S003,6.9224,0.01
with_abs,EMG,lt1,S004,5.5825,-1.629
with_abs,EMG,lt1,S005,5.0818,0.132
with_abs,EMG,lt1,S006,2.5323,0.162
with_abs,EMG,lt1,S007,3.1202,0.59
with_abs,EMG,lt1,S008,3.3601,-0.179
with_abs,EMG,lt1,S009,6.7442,0.12
with_abs,EMG,lt1,S010,5.6299,0.115
with_abs,EMG,lt1,S011,2.8355,0.357
with_abs,EMG,lt1,S012,2.341,0.273
with_abs,EMG,lt1,S013,7.3137,-0.87
with_abs,EMG,lt1,S014,6.4845,-0.601
with_abs,EMG,lt1,S016,2.8872,0.44
with_abs,EMG,lt1,S017,4.653,-0.058
with_abs,EMG,lt1,S018,2.6262,0.573
with_abs,EMG,lt1,S019,9.2274,-0.602
noabs,EMG,lt1,S001,6.7196,-1.784
noabs,EMG,lt1,S002,4.309,-0.982
noabs,EMG,lt1,S003,7.7519,-0.257
noabs,EMG,lt1,S004,5.736,-2.294
noabs,EMG,lt1,S005,3.5545,0.632
noabs,EMG,lt1,S006,2.7354,0.013
noabs,EMG,lt1,S007,3.133,0.584
noabs,EMG,lt1,S008,2.5299,0.387
noabs,EMG,lt1,S009,7.5093,-0.14
noabs,EMG,lt1,S010,6.2664,0.063
noabs,EMG,lt1,S011,3.1435,0.319
noabs,EMG,lt1,S012,2.3611,0.307
noabs,EMG,lt1,S013,6.7392,-0.565
noabs,EMG,lt1,S014,5.7497,-0.233
noabs,EMG,lt1,S016,2.2264,0.582
noabs,EMG,lt1,S017,4.3646,0.006
noabs,EMG,lt1,S018,2.7456,0.568
noabs,EMG,lt1,S019,8.1581,-0.347
with_abs,NIRS,lt1,S001,4.5733,0.194
with_abs,NIRS,lt1,S002,2.6504,0.391
with_abs,NIRS,lt1,S003,6.9048,0.099
with_abs,NIRS,lt1,S004,3.0821,0.16
with_abs,NIRS,lt1,S005,2.4895,0.802
with_abs,NIRS,lt1,S006,1.9399,0.557
with_abs,NIRS,lt1,S007,3.2726,0.506
with_abs,NIRS,lt1,S008,2.206,0.257
with_abs,NIRS,lt1,S009,5.4173,0.281
with_abs,NIRS,lt1,S010,4.3154,0.633
with_abs,NIRS,lt1,S011,5.0819,-0.613
with_abs,NIRS,lt1,S012,4.0835,-0.378
with_abs,NIRS,lt1,S013,2.4621,0.778
with_abs,NIRS,lt1,S014,3.0914,0.517
with_abs,NIRS,lt1,S016,4.2487,-0.29
with_abs,NIRS,lt1,S017,6.6105,-0.988
with_abs,NIRS,lt1,S018,3.5504,0.375
with_abs,NIRS,lt1,S019,6.1003,0.189
noabs,NIRS,lt1,S001,3.7208,0.308
noabs,NIRS,lt1,S002,4.6951,-0.854
noabs,NIRS,lt1,S003,11.2145,-1.261
noabs,NIRS,lt1,S004,4.2439,-0.398
noabs,NIRS,lt1,S005,3.2069,0.691
noabs,NIRS,lt1,S006,3.8743,-0.635
noabs,NIRS,lt1,S007,2.2723,0.76
noabs,NIRS,lt1,S008,2.6012,0.299
noabs,NIRS,lt1,S009,9.8309,-0.765
noabs,NIRS,lt1,S010,4.9293,0.509
noabs,NIRS,lt1,S011,4.9968,-0.513
noabs,NIRS,lt1,S012,3.2244,0.004
noabs,NIRS,lt1,S013,3.3788,0.656
noabs,NIRS,lt1,S014,3.2667,0.438
noabs,NIRS,lt1,S016,3.6846,0.114
noabs,NIRS,lt1,S017,3.9566,0.163
noabs,NIRS,lt1,S018,3.6148,0.241
noabs,NIRS,lt1,S019,6.5807,0.096
with_abs,EMG+NIRS,lt1,S001,6.086,-1.914
with_abs,EMG+NIRS,lt1,S002,4.4835,-1.074
with_abs,EMG+NIRS,lt1,S003,7.491,-0.047
with_abs,EMG+NIRS,lt1,S004,5.0555,-1.371
with_abs,EMG+NIRS,lt1,S005,3.5935,0.613
with_abs,EMG+NIRS,lt1,S006,2.2744,0.432
with_abs,EMG+NIRS,lt1,S007,2.0319,0.832
with_abs,EMG+NIRS,lt1,S008,2.373,0.461
with_abs,EMG+NIRS,lt1,S009,4.9651,0.527
with_abs,EMG+NIRS,lt1,S010,4.5173,0.516
with_abs,EMG+NIRS,lt1,S011,2.7731,0.317
with_abs,EMG+NIRS,lt1,S012,1.7132,0.699
with_abs,EMG+NIRS,lt1,S013,4.9757,-0.335
with_abs,EMG+NIRS,lt1,S014,7.0359,-1.473
with_abs,EMG+NIRS,lt1,S016,4.0263,0.039
with_abs,EMG+NIRS,lt1,S017,4.7726,-0.13
with_abs,EMG+NIRS,lt1,S018,2.7758,0.379
