variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,19,79,4.4222,4.5331,30.0,4.5331,4.6351,4.7778,5.2674,0.266,0.56,109.0
noabs,EMG,lt2,19,79,4.5714,4.7295,30.0,4.7295,4.8619,5.0363,5.5817,0.22,0.538,105.1
with_abs,NIRS,lt2,19,18,4.455,4.4521,30.0,4.4521,4.4877,4.5607,4.9115,0.268,0.539,88.8
noabs,NIRS,lt2,19,14,5.2366,5.2148,30.0,5.2148,5.233,5.2783,5.5135,-0.011,0.298,87.8
with_abs,EMG+NIRS,lt2,19,97,4.5051,4.6595,30.0,4.6595,4.7857,4.949,5.4653,0.197,0.521,111.9
noabs,EMG+NIRS,lt2,19,93,4.694,4.8513,30.0,4.8513,4.9771,5.1414,5.6839,0.174,0.492,108.7
with_abs,EMG+NIRS+HRV,lt2,19,107,3.8519,4.0435,30.0,4.0435,4.1856,4.3625,4.9135,0.421,0.774,114.2
noabs,EMG+NIRS+HRV,lt2,19,101,3.5306,3.7644,30.0,3.7644,3.9437,4.1733,4.9002,0.502,0.796,112.0
with_abs,EMG,lt1,14,79,4.2987,4.4399,30.0,4.4399,4.5571,4.7084,5.1868,0.276,0.643,78.6
noabs,EMG,lt1,14,79,4.0272,4.1764,30.0,4.1764,4.3026,4.4683,5.0112,0.351,0.672,78.8
with_abs,NIRS,lt1,14,18,4.6521,4.6705,30.0,4.6705,4.7176,4.8036,5.1758,0.167,0.471,65.7
noabs,NIRS,lt1,14,14,5.0037,4.9805,30.0,4.9805,4.9894,5.0266,5.2968,-0.029,0.427,64.9
with_abs,EMG+NIRS,lt1,14,97,4.1575,4.2963,30.0,4.2963,4.4163,4.577,5.1017,0.33,0.633,82.6
noabs,EMG+NIRS,lt1,14,93,4.2365,4.3657,30.0,4.3657,4.4788,4.6318,5.1564,0.332,0.718,81.8
with_abs,EMG+NIRS+HRV,lt1,14,107,3.5333,3.7379,30.0,3.7379,3.8948,4.0923,4.6819,0.532,0.781,84.4
noabs,EMG+NIRS+HRV,lt1,14,101,3.3048,3.5218,30.0,3.5218,3.6922,3.9114,4.5785,0.569,0.829,82.8
