variant,feature_set,target,mono_weight,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,1.0,19,79,5.502,5.5255,30.0,5.5255,5.5577,5.6152,5.8976,-0.06,-0.259,400.6
noabs,EMG,lt2,1.0,19,79,5.4782,5.5,30.0,5.5,5.5305,5.5853,5.8581,-0.046,-0.196,474.6
with_abs,NIRS,lt2,1.0,19,18,5.3911,5.4041,30.0,5.4041,5.4272,5.4719,5.7122,-0.008,0.001,411.5
noabs,NIRS,lt2,1.0,19,14,5.4368,5.4543,30.0,5.4543,5.4797,5.527,5.775,-0.021,-0.073,373.9
with_abs,EMG+NIRS,lt2,1.0,19,97,5.431,5.4507,30.0,5.4507,5.4808,5.5358,5.8118,-0.03,-0.055,447.7
noabs,EMG+NIRS,lt2,1.0,19,93,5.458,5.4802,30.0,5.4802,5.512,5.5691,5.8509,-0.038,-0.195,456.6
with_abs,EMG+NIRS+HRV,lt2,1.0,19,107,5.3218,5.3501,30.0,5.3501,5.3861,5.4488,5.7515,0.017,0.245,371.7
noabs,EMG+NIRS+HRV,lt2,1.0,19,101,5.39,5.421,30.0,5.421,5.459,5.5238,5.8286,-0.01,0.084,409.0
with_abs,EMG,lt1,1.0,14,79,5.543,5.5455,30.0,5.5455,5.5619,5.598,5.8117,-0.05,-0.334,302.3
noabs,EMG,lt1,1.0,14,79,5.5316,5.542,30.0,5.542,5.5636,5.6072,5.846,-0.05,-0.296,264.3
with_abs,NIRS,lt1,1.0,14,18,5.3512,5.3645,30.0,5.3645,5.3875,5.4323,5.6745,0.022,0.163,268.5
noabs,NIRS,lt1,1.0,14,14,5.3241,5.3382,30.0,5.3382,5.3619,5.4077,5.6528,0.03,0.191,289.5
with_abs,EMG+NIRS,lt1,1.0,14,97,5.5241,5.5305,30.0,5.5305,5.5492,5.589,5.817,-0.044,-0.206,345.9
noabs,EMG+NIRS,lt1,1.0,14,93,5.5472,5.5573,30.0,5.5573,5.5782,5.6198,5.8483,-0.053,-0.294,272.0
with_abs,EMG+NIRS+HRV,lt1,1.0,14,107,5.4501,5.4644,30.0,5.4644,5.4895,5.5374,5.7888,-0.021,-0.032,287.8
noabs,EMG+NIRS+HRV,lt1,1.0,14,101,5.5149,5.5265,30.0,5.5265,5.5482,5.5915,5.831,-0.045,-0.272,252.4
