variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,4.52,0.174
with_abs,EMG,lt2,S002,3.7259,-0.621
with_abs,EMG,lt2,S003,6.4544,-0.282
with_abs,EMG,lt2,S004,3.5358,-0.091
with_abs,EMG,lt2,S005,4.6631,0.151
with_abs,EMG,lt2,S006,2.5339,0.145
with_abs,EMG,lt2,S008,4.2644,-0.941
with_abs,EMG,lt2,S009,9.1967,-0.721
with_abs,EMG,lt2,S010,7.5305,-0.54
with_abs,EMG,lt2,S011,3.37,0.163
with_abs,EMG,lt2,S012,2.6439,0.321
with_abs,EMG,lt2,S013,5.6695,-0.243
with_abs,EMG,lt2,S014,3.9687,0.213
with_abs,EMG,lt2,S015,3.1533,-0.791
with_abs,EMG,lt2,S016,3.3216,0.113
with_abs,EMG,lt2,S017,5.3847,-0.451
with_abs,EMG,lt2,S018,4.9738,-6.394
with_abs,EMG,lt2,S019,7.1878,-0.349
noabs,EMG,lt2,S001,4.4973,0.194
noabs,EMG,lt2,S002,3.5033,-0.535
noabs,EMG,lt2,S003,6.3941,-0.272
noabs,EMG,lt2,S004,3.6457,-0.157
noabs,EMG,lt2,S005,4.6267,0.165
noabs,EMG,lt2,S006,2.5246,0.147
noabs,EMG,lt2,S008,4.2205,-0.934
noabs,EMG,lt2,S009,9.2686,-0.738
noabs,EMG,lt2,S010,7.5296,-0.532
noabs,EMG,lt2,S011,3.2445,0.183
noabs,EMG,lt2,S012,2.7382,0.293
noabs,EMG,lt2,S013,5.5647,-0.235
noabs,EMG,lt2,S014,4.0151,0.215
noabs,EMG,lt2,S015,3.1229,-0.754
noabs,EMG,lt2,S016,3.3161,0.103
noabs,EMG,lt2,S017,5.1794,-0.409
noabs,EMG,lt2,S018,5.1734,-6.898
noabs,EMG,lt2,S019,7.1717,-0.349
with_abs,NIRS,lt2,S001,4.9503,-0.016
with_abs,NIRS,lt2,S002,3.9793,-0.721
with_abs,NIRS,lt2,S003,6.9473,-0.373
with_abs,NIRS,lt2,S004,3.7878,-0.228
with_abs,NIRS,lt2,S005,5.0876,-0.048
with_abs,NIRS,lt2,S006,2.9973,-0.106
with_abs,NIRS,lt2,S008,4.0655,-0.956
with_abs,NIRS,lt2,S009,9.984,-1.008
with_abs,NIRS,lt2,S010,7.9936,-0.62
with_abs,NIRS,lt2,S011,3.83,-0.047
with_abs,NIRS,lt2,S012,3.0832,0.154
with_abs,NIRS,lt2,S013,6.0106,-0.327
with_abs,NIRS,lt2,S014,4.718,-0.02
with_abs,NIRS,lt2,S015,3.2372,-0.984
with_abs,NIRS,lt2,S016,4.1416,-0.132
with_abs,NIRS,lt2,S017,5.2708,-0.466
with_abs,NIRS,lt2,S018,5.0203,-6.639
with_abs,NIRS,lt2,S019,7.6574,-0.463
