variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,5.8435,-0.511
with_abs,EMG,lt1,S002,3.3823,-0.101
with_abs,EMG,lt1,S003,6.5496,0.033
with_abs,EMG,lt1,S004,4.6167,-0.572
with_abs,EMG,lt1,S005,6.6975,-0.644
with_abs,EMG,lt1,S006,2.9381,-0.001
with_abs,EMG,lt1,S007,4.9205,-0.185
with_abs,EMG,lt1,S008,3.3643,-0.229
with_abs,EMG,lt1,S009,8.578,-0.491
with_abs,EMG,lt1,S010,6.1077,0.155
with_abs,EMG,lt1,S011,3.0097,0.377
with_abs,EMG,lt1,S012,3.0869,0.124
with_abs,EMG,lt1,S013,5.884,-0.212
with_abs,EMG,lt1,S014,3.8244,0.27
with_abs,EMG,lt1,S016,3.1489,0.305
with_abs,EMG,lt1,S017,5.8154,-0.67
with_abs,EMG,lt1,S018,4.4336,0.009
with_abs,EMG,lt1,S019,5.6466,0.247
with_abs,NIRS,lt1,S001,5.7272,-0.517
with_abs,NIRS,lt1,S002,2.6377,0.348
with_abs,NIRS,lt1,S003,6.2334,0.128
with_abs,NIRS,lt1,S004,2.561,0.408
with_abs,NIRS,lt1,S005,6.6812,-0.652
with_abs,NIRS,lt1,S006,2.0791,0.435
with_abs,NIRS,lt1,S007,4.9518,-0.22
with_abs,NIRS,lt1,S008,2.4673,0.322
with_abs,NIRS,lt1,S009,8.3833,-0.464
with_abs,NIRS,lt1,S010,6.0813,0.158
with_abs,NIRS,lt1,S011,3.2517,0.218
with_abs,NIRS,lt1,S012,3.362,0.018
with_abs,NIRS,lt1,S013,5.3491,-0.021
with_abs,NIRS,lt1,S014,3.8979,0.238
with_abs,NIRS,lt1,S016,3.9275,-0.009
with_abs,NIRS,lt1,S017,4.1506,0.033
with_abs,NIRS,lt1,S018,4.0934,0.161
with_abs,NIRS,lt1,S019,6.0245,0.185
with_abs,EMG+NIRS,lt1,S001,5.697,-0.471
with_abs,EMG+NIRS,lt1,S002,3.0233,0.106
with_abs,EMG+NIRS,lt1,S003,7.1497,-0.095
with_abs,EMG+NIRS,lt1,S004,4.3488,-0.43
with_abs,EMG+NIRS,lt1,S005,7.3106,-0.887
with_abs,EMG+NIRS,lt1,S006,2.9092,0.035
with_abs,EMG+NIRS,lt1,S007,4.7774,-0.127
with_abs,EMG+NIRS,lt1,S008,3.2936,-0.161
with_abs,EMG+NIRS,lt1,S009,8.2163,-0.423
with_abs,EMG+NIRS,lt1,S010,5.9698,0.17
with_abs,EMG+NIRS,lt1,S011,3.0784,0.335
with_abs,EMG+NIRS,lt1,S012,2.9747,0.219
with_abs,EMG+NIRS,lt1,S013,5.7443,-0.122
with_abs,EMG+NIRS,lt1,S014,4.0699,0.188
with_abs,EMG+NIRS,lt1,S016,3.9289,-0.015
with_abs,EMG+NIRS,lt1,S017,5.341,-0.516
with_abs,EMG+NIRS,lt1,S018,4.6406,-0.081
with_abs,EMG+NIRS,lt1,S019,6.7826,-0.012
with_abs,EMG+NIRS+HRV,lt1,S001,5.7359,-0.485
with_abs,EMG+NIRS+HRV,lt1,S002,2.9256,0.131
with_abs,EMG+NIRS+HRV,lt1,S003,6.7045,-0.032
with_abs,EMG+NIRS+HRV,lt1,S004,4.1025,-0.295
with_abs,EMG+NIRS+HRV,lt1,S005,6.4793,-0.58
with_abs,EMG+NIRS+HRV,lt1,S006,2.7131,0.12
with_abs,EMG+NIRS+HRV,lt1,S007,4.6383,-0.107
with_abs,EMG+NIRS+HRV,lt1,S008,2.6068,0.335
with_abs,EMG+NIRS+HRV,lt1,S009,8.6456,-0.492
with_abs,EMG+NIRS+HRV,lt1,S010,6.3879,0.078
with_abs,EMG+NIRS+HRV,lt1,S011,2.8786,0.405
with_abs,EMG+NIRS+HRV,lt1,S012,3.1815,0.13
with_abs,EMG+NIRS+HRV,lt1,S013,5.7104,-0.108
with_abs,EMG+NIRS+HRV,lt1,S014,4.3563,0.125
with_abs,EMG+NIRS+HRV,lt1,S016,3.9459,-0.023
with_abs,EMG+NIRS+HRV,lt1,S017,4.2512,0.055
with_abs,EMG+NIRS+HRV,lt1,S018,3.8957,0.25
with_abs,EMG+NIRS+HRV,lt1,S019,5.6844,0.241
noabs,EMG,lt1,S001,5.7948,-0.506
noabs,EMG,lt1,S002,3.3741,-0.119
noabs,EMG,lt1,S003,6.7402,-0.035
noabs,EMG,lt1,S004,4.7295,-0.633
noabs,EMG,lt1,S005,7.2908,-0.916
noabs,EMG,lt1,S006,2.9156,0.018
noabs,EMG,lt1,S007,4.8557,-0.155
noabs,EMG,lt1,S008,3.2506,-0.115
noabs,EMG,lt1,S009,8.3731,-0.445
noabs,EMG,lt1,S010,5.9939,0.172
noabs,EMG,lt1,S011,2.9764,0.386
noabs,EMG,lt1,S012,3.1966,0.078
noabs,EMG,lt1,S013,5.8116,-0.161
noabs,EMG,lt1,S014,3.9653,0.231
noabs,EMG,lt1,S016,3.1754,0.317
noabs,EMG,lt1,S017,5.8369,-0.685
noabs,EMG,lt1,S018,4.5109,-0.015
noabs,EMG,lt1,S019,6.0148,0.191
noabs,NIRS,lt1,S001,5.8863,-0.561
noabs,NIRS,lt1,S002,3.3018,-0.048
noabs,NIRS,lt1,S003,6.2474,0.124
noabs,NIRS,lt1,S004,2.8703,0.314
noabs,NIRS,lt1,S005,6.7686,-0.693
noabs,NIRS,lt1,S006,2.1771,0.411
noabs,NIRS,lt1,S007,4.8192,-0.186
