variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,19,79,5.3001,5.5227,30.0,5.5227,5.6929,5.9149,6.6455,-0.101,0.51,149.9
noabs,EMG,lt2,19,79,5.2757,5.502,30.0,5.502,5.6741,5.8987,6.6371,-0.099,0.562,148.3
with_abs,NIRS,lt2,19,18,5.7186,5.8829,30.0,5.8829,6.0121,6.1878,6.8172,-0.23,-0.026,146.3
noabs,NIRS,lt2,19,14,5.642,5.8303,30.0,5.8303,5.9795,6.182,6.8816,-0.22,0.156,146.0
with_abs,EMG+NIRS,lt2,19,97,5.3038,5.5306,30.0,5.5306,5.7038,5.9292,6.6705,-0.11,0.581,146.4
noabs,EMG+NIRS,lt2,19,93,5.2862,5.5127,30.0,5.5127,5.6857,5.9112,6.6559,-0.112,0.555,145.3
with_abs,EMG+NIRS+HRV,lt2,19,107,5.1798,5.4142,30.0,5.4142,5.5946,5.8301,6.597,-0.078,0.58,147.5
noabs,EMG+NIRS+HRV,lt2,19,101,5.2208,5.4505,30.0,5.4505,5.6282,5.8615,6.6292,-0.091,0.609,148.8
with_abs,EMG,lt1,14,79,5.1344,5.2757,30.0,5.2757,5.3901,5.5474,6.1019,0.033,0.586,98.9
noabs,EMG,lt1,14,79,5.1285,5.2737,30.0,5.2737,5.3909,5.5508,6.1098,0.036,0.628,98.9
with_abs,NIRS,lt1,14,18,5.4326,5.5429,30.0,5.5429,5.634,5.7609,6.2328,-0.041,0.102,96.8
noabs,NIRS,lt1,14,14,5.4813,5.5851,30.0,5.5851,5.672,5.7942,6.2547,-0.057,-0.009,96.9
with_abs,EMG+NIRS,lt1,14,97,5.1023,5.2559,30.0,5.2559,5.3765,5.5377,6.095,0.042,0.615,98.5
noabs,EMG+NIRS,lt1,14,93,5.1298,5.2841,30.0,5.2841,5.4052,5.5667,6.118,0.038,0.608,98.0
with_abs,EMG+NIRS+HRV,lt1,14,107,5.1266,5.2707,30.0,5.2707,5.3868,5.546,6.1084,0.032,0.632,98.6
noabs,EMG+NIRS+HRV,lt1,14,101,5.0775,5.2208,30.0,5.2208,5.3368,5.4963,6.0621,0.043,0.657,98.5
