variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,4.2299,0.156
with_abs,EMG,lt2,S002,4.6245,-0.891
with_abs,EMG,lt2,S003,5.9447,0.026
with_abs,EMG,lt2,S004,6.7996,-2.052
with_abs,EMG,lt2,S005,4.4032,0.259
with_abs,EMG,lt2,S006,7.332,-6.183
with_abs,EMG,lt2,S008,1.276,0.825
with_abs,EMG,lt2,S009,6.044,0.207
with_abs,EMG,lt2,S010,4.0098,0.601
with_abs,EMG,lt2,S011,9.0948,-3.54
with_abs,EMG,lt2,S012,3.3309,-0.039
with_abs,EMG,lt2,S013,6.7686,-0.293
with_abs,EMG,lt2,S014,3.0242,0.474
with_abs,EMG,lt2,S016,1.6803,0.806
with_abs,EMG,lt2,S017,6.4809,-0.951
with_abs,EMG,lt2,S018,1.6487,0.055
with_abs,EMG,lt2,S019,5.797,0.333
noabs,EMG,lt2,S001,3.4567,0.414
noabs,EMG,lt2,S002,4.3937,-0.609
noabs,EMG,lt2,S003,5.041,0.288
noabs,EMG,lt2,S004,5.212,-0.88
noabs,EMG,lt2,S005,7.6226,-1.223
noabs,EMG,lt2,S006,6.2566,-3.673
noabs,EMG,lt2,S008,4.6596,-1.432
noabs,EMG,lt2,S009,5.3443,0.45
noabs,EMG,lt2,S010,4.2236,0.601
noabs,EMG,lt2,S011,8.0233,-2.559
noabs,EMG,lt2,S012,4.705,-0.637
noabs,EMG,lt2,S013,7.7389,-0.686
noabs,EMG,lt2,S014,3.6208,0.046
noabs,EMG,lt2,S016,2.451,0.428
noabs,EMG,lt2,S017,3.4947,0.466
noabs,EMG,lt2,S018,2.2077,-0.801
noabs,EMG,lt2,S019,6.4825,0.198
with_abs,NIRS,lt2,S001,11.2064,-3.36
with_abs,NIRS,lt2,S002,1.8743,0.511
with_abs,NIRS,lt2,S003,4.0524,0.622
with_abs,NIRS,lt2,S004,1.4458,0.758
with_abs,NIRS,lt2,S005,4.8978,0.038
with_abs,NIRS,lt2,S006,2.5737,0.185
with_abs,NIRS,lt2,S008,1.4584,0.694
with_abs,NIRS,lt2,S009,8.9552,-0.541
with_abs,NIRS,lt2,S010,2.9799,0.812
with_abs,NIRS,lt2,S011,3.6504,-0.04
with_abs,NIRS,lt2,S012,3.6746,-0.141
with_abs,NIRS,lt2,S013,1.8725,0.864
with_abs,NIRS,lt2,S014,2.6942,0.71
with_abs,NIRS,lt2,S016,3.8725,0.053
with_abs,NIRS,lt2,S017,5.9482,-1.154
with_abs,NIRS,lt2,S018,2.0478,-0.686
with_abs,NIRS,lt2,S019,6.2668,0.096
noabs,NIRS,lt2,S001,5.6379,-0.547
noabs,NIRS,lt2,S002,2.3266,0.361
noabs,NIRS,lt2,S003,3.4909,0.711
noabs,NIRS,lt2,S004,2.1861,0.547
noabs,NIRS,lt2,S005,6.8841,-1.006
noabs,NIRS,lt2,S006,4.4283,-0.931
noabs,NIRS,lt2,S008,2.2749,0.433
noabs,NIRS,lt2,S009,8.1952,-0.224
noabs,NIRS,lt2,S010,3.7928,0.687
noabs,NIRS,lt2,S011,2.1162,0.688
noabs,NIRS,lt2,S012,3.0899,0.22
noabs,NIRS,lt2,S013,2.192,0.799
noabs,NIRS,lt2,S014,1.5396,0.87
noabs,NIRS,lt2,S016,4.4032,-0.287
noabs,NIRS,lt2,S017,6.6068,-1.427
noabs,NIRS,lt2,S018,3.6058,-3.38
noabs,NIRS,lt2,S019,6.3769,0.022
with_abs,EMG+NIRS,lt2,S001,5.3026,-0.296
with_abs,EMG+NIRS,lt2,S002,2.4116,0.463
with_abs,EMG+NIRS,lt2,S003,4.5163,0.503
with_abs,EMG+NIRS,lt2,S004,5.7588,-1.462
with_abs,EMG+NIRS,lt2,S005,7.9772,-1.456
with_abs,EMG+NIRS,lt2,S006,5.7145,-4.161
with_abs,EMG+NIRS,lt2,S008,3.0533,0.011
with_abs,EMG+NIRS,lt2,S009,6.0623,0.326
with_abs,EMG+NIRS,lt2,S010,3.5555,0.646
with_abs,EMG+NIRS,lt2,S011,7.8832,-2.42
with_abs,EMG+NIRS,lt2,S012,2.1289,0.624
with_abs,EMG+NIRS,lt2,S013,5.8433,0.068
with_abs,EMG+NIRS,lt2,S014,4.1126,0.063
with_abs,EMG+NIRS,lt2,S016,3.1371,0.225
with_abs,EMG+NIRS,lt2,S017,3.6934,0.265
with_abs,EMG+NIRS,lt2,S018,1.8677,-0.286
with_abs,EMG+NIRS,lt2,S019,4.6475,0.54
noabs,EMG+NIRS,lt2,S001,5.7388,-0.729
noabs,EMG+NIRS,lt2,S002,2.0459,0.613
noabs,EMG+NIRS,lt2,S003,6.4127,0.128
noabs,EMG+NIRS,lt2,S004,6.8647,-2.791
noabs,EMG+NIRS,lt2,S005,6.3921,-0.704
