variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,19,79,4.0843,4.1011,5.0,4.1011,4.1292,4.1623,4.1999,4.2862,4.4861,4.7585,5.6089,0.315,0.703,491.0
noabs,EMG,lt2,19,79,4.2325,4.2545,5.0,4.2545,4.2893,4.3273,4.368,4.4553,4.6467,4.8994,5.7012,0.278,0.667,488.1
with_abs,NIRS,lt2,19,18,4.6405,4.6451,5.0,4.6451,4.6547,4.6659,4.6783,4.7056,4.7741,4.8823,5.3446,0.125,0.48,425.2
noabs,NIRS,lt2,19,14,4.6229,4.6248,5.0,4.6248,4.6294,4.6359,4.6446,4.6676,4.7294,4.8292,5.2512,0.193,0.48,411.8
with_abs,EMG+NIRS,lt2,19,97,4.0002,4.0207,5.0,4.0207,4.0549,4.0939,4.1363,4.2285,4.4304,4.6989,5.5656,0.376,0.727,553.6
noabs,EMG+NIRS,lt2,19,93,4.1393,4.1583,5.0,4.1583,4.1884,4.2227,4.2601,4.3419,4.5252,4.7779,5.6125,0.337,0.711,510.4
with_abs,EMG+NIRS+HRV,lt2,19,107,3.3218,3.3508,5.0,3.3508,3.3951,3.4429,3.4926,3.5973,3.8196,4.1094,5.0175,0.625,0.847,534.0
noabs,EMG+NIRS+HRV,lt2,19,101,3.4295,3.4596,5.0,3.4596,3.5065,3.5564,3.6079,3.7137,3.9323,4.2135,5.087,0.596,0.841,530.6
with_abs,EMG,lt1,14,79,3.4824,3.4994,5.0,3.4994,3.5292,3.5655,3.6069,3.6988,3.9027,4.1704,4.9971,0.463,0.774,352.0
noabs,EMG,lt1,14,79,3.5847,3.5938,5.0,3.5938,3.6128,3.6391,3.671,3.7469,3.9269,4.1731,4.968,0.446,0.759,337.2
with_abs,NIRS,lt1,14,18,4.8219,4.828,5.0,4.828,4.8402,4.8542,4.8691,4.9006,4.971,5.073,5.4692,0.123,0.474,337.9
noabs,NIRS,lt1,14,14,4.7423,4.7593,5.0,4.7593,4.785,4.8109,4.8366,4.8884,4.9922,5.1215,5.5364,0.121,0.5,342.0
with_abs,EMG+NIRS,lt1,14,97,3.2993,3.3101,5.0,3.3101,3.3291,3.3535,3.383,3.4536,3.6226,3.8569,4.6019,0.543,0.801,400.0
noabs,EMG+NIRS,lt1,14,93,3.2244,3.2435,5.0,3.2435,3.2737,3.3067,3.3419,3.4184,3.5894,3.8215,4.5684,0.54,0.788,353.5
with_abs,EMG+NIRS+HRV,lt1,14,107,2.7316,2.7506,5.0,2.7506,2.7836,2.8227,2.8663,2.9618,3.1693,3.4392,4.2692,0.69,0.879,422.2
noabs,EMG+NIRS+HRV,lt1,14,101,2.9969,3.0142,5.0,3.0142,3.0442,3.0803,3.1209,3.2105,3.4061,3.6601,4.4473,0.642,0.844,419.5
