variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,4.808,0.048
with_abs,EMG,lt2,S002,3.9175,-0.679
with_abs,EMG,lt2,S003,6.7449,-0.317
with_abs,EMG,lt2,S004,3.7026,-0.18
with_abs,EMG,lt2,S005,4.9771,-0.011
with_abs,EMG,lt2,S006,2.8148,0.019
with_abs,EMG,lt2,S008,3.9772,-0.855
with_abs,EMG,lt2,S009,9.1648,-0.721
with_abs,EMG,lt2,S010,7.778,-0.565
with_abs,EMG,lt2,S011,3.5898,0.066
with_abs,EMG,lt2,S012,3.1249,0.12
with_abs,EMG,lt2,S013,5.8906,-0.283
with_abs,EMG,lt2,S014,4.4433,0.08
with_abs,EMG,lt2,S015,3.1843,-0.859
with_abs,EMG,lt2,S016,3.7104,-0.002
with_abs,EMG,lt2,S017,5.2408,-0.419
with_abs,EMG,lt2,S018,5.1172,-6.851
with_abs,EMG,lt2,S019,7.3405,-0.377
noabs,EMG,lt2,S001,4.7383,0.074
noabs,EMG,lt2,S002,3.841,-0.659
noabs,EMG,lt2,S003,6.7361,-0.318
noabs,EMG,lt2,S004,3.6593,-0.156
noabs,EMG,lt2,S005,5.0127,-0.023
noabs,EMG,lt2,S006,2.7947,0.031
noabs,EMG,lt2,S008,3.993,-0.869
noabs,EMG,lt2,S009,9.1246,-0.711
noabs,EMG,lt2,S010,7.7652,-0.561
noabs,EMG,lt2,S011,3.6631,0.04
noabs,EMG,lt2,S012,3.1215,0.121
noabs,EMG,lt2,S013,5.8699,-0.287
noabs,EMG,lt2,S014,4.4251,0.084
noabs,EMG,lt2,S015,3.177,-0.85
noabs,EMG,lt2,S016,3.7311,-0.01
noabs,EMG,lt2,S017,5.237,-0.418
noabs,EMG,lt2,S018,5.1572,-6.974
noabs,EMG,lt2,S019,7.335,-0.375
with_abs,NIRS,lt2,S001,4.9113,0.008
with_abs,NIRS,lt2,S002,4.0688,-0.82
with_abs,NIRS,lt2,S003,6.9968,-0.387
with_abs,NIRS,lt2,S004,3.6119,-0.193
with_abs,NIRS,lt2,S005,5.1504,-0.087
with_abs,NIRS,lt2,S006,2.8955,-0.075
with_abs,NIRS,lt2,S008,3.9968,-0.989
with_abs,NIRS,lt2,S009,9.5091,-0.864
with_abs,NIRS,lt2,S010,8.0206,-0.635
with_abs,NIRS,lt2,S011,3.7648,-0.041
with_abs,NIRS,lt2,S012,3.2291,0.066
with_abs,NIRS,lt2,S013,6.0328,-0.356
with_abs,NIRS,lt2,S014,4.552,0.034
with_abs,NIRS,lt2,S015,3.16,-0.889
with_abs,NIRS,lt2,S016,4.0855,-0.15
with_abs,NIRS,lt2,S017,5.3631,-0.518
with_abs,NIRS,lt2,S018,5.1823,-7.074
with_abs,NIRS,lt2,S019,7.572,-0.446
noabs,NIRS,lt2,S001,4.796,0.064
noabs,NIRS,lt2,S002,3.9692,-0.814
