variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt1,S001,5.9654,-0.583
with_abs,EMG,lt1,S002,3.1932,0.008
with_abs,EMG,lt1,S003,6.7105,-0.06
with_abs,EMG,lt1,S004,3.9714,-0.194
with_abs,EMG,lt1,S005,7.1275,-0.877
with_abs,EMG,lt1,S006,3.0553,-0.131
with_abs,EMG,lt1,S007,5.1063,-0.267
with_abs,EMG,lt1,S008,3.0807,0.033
with_abs,EMG,lt1,S009,8.7041,-0.538
with_abs,EMG,lt1,S010,6.6211,-0.025
with_abs,EMG,lt1,S011,3.4742,0.156
with_abs,EMG,lt1,S012,3.3105,0.016
with_abs,EMG,lt1,S013,5.7814,-0.143
with_abs,EMG,lt1,S014,4.4121,0.1
with_abs,EMG,lt1,S016,3.6624,0.114
with_abs,EMG,lt1,S017,5.12,-0.303
with_abs,EMG,lt1,S018,4.3363,0.065
with_abs,EMG,lt1,S019,6.3435,0.08
with_abs,NIRS,lt1,S001,6.0388,-0.64
with_abs,NIRS,lt1,S002,3.1981,0.036
with_abs,NIRS,lt1,S003,6.6193,-0.005
with_abs,NIRS,lt1,S004,3.1941,0.165
with_abs,NIRS,lt1,S005,6.891,-0.763
with_abs,NIRS,lt1,S006,2.7779,0.013
with_abs,NIRS,lt1,S007,5.2053,-0.317
with_abs,NIRS,lt1,S008,2.8538,0.141
with_abs,NIRS,lt1,S009,8.747,-0.573
with_abs,NIRS,lt1,S010,6.5641,0.007
with_abs,NIRS,lt1,S011,3.5565,0.103
with_abs,NIRS,lt1,S012,3.4105,-0.029
with_abs,NIRS,lt1,S013,5.6203,-0.119
with_abs,NIRS,lt1,S014,4.4999,0.066
with_abs,NIRS,lt1,S016,3.8168,0.044
with_abs,NIRS,lt1,S017,4.6745,-0.139
with_abs,NIRS,lt1,S018,4.3639,0.054
with_abs,NIRS,lt1,S019,6.4375,0.063
with_abs,EMG+NIRS,lt1,S001,5.8997,-0.551
with_abs,EMG+NIRS,lt1,S002,3.2223,0.011
with_abs,EMG+NIRS,lt1,S003,6.6783,-0.034
with_abs,EMG+NIRS,lt1,S004,3.7098,-0.065
with_abs,EMG+NIRS,lt1,S005,7.0491,-0.816
with_abs,EMG+NIRS,lt1,S006,3.0934,-0.158
with_abs,EMG+NIRS,lt1,S007,5.0442,-0.241
with_abs,EMG+NIRS,lt1,S008,3.0734,0.039
with_abs,EMG+NIRS,lt1,S009,8.5885,-0.518
with_abs,EMG+NIRS,lt1,S010,6.6158,-0.016
with_abs,EMG+NIRS,lt1,S011,3.5043,0.135
with_abs,EMG+NIRS,lt1,S012,3.2326,0.065
with_abs,EMG+NIRS,lt1,S013,5.7928,-0.152
with_abs,EMG+NIRS,lt1,S014,4.405,0.097
with_abs,EMG+NIRS,lt1,S016,3.731,0.075
with_abs,EMG+NIRS,lt1,S017,5.0393,-0.284
with_abs,EMG+NIRS,lt1,S018,4.5107,-0.01
with_abs,EMG+NIRS,lt1,S019,6.3605,0.074
with_abs,EMG+NIRS+HRV,lt1,S001,5.8689,-0.543
with_abs,EMG+NIRS+HRV,lt1,S002,3.1562,0.026
with_abs,EMG+NIRS+HRV,lt1,S003,6.7245,-0.046
with_abs,EMG+NIRS+HRV,lt1,S004,3.5708,-0.004
with_abs,EMG+NIRS+HRV,lt1,S005,6.8751,-0.748
with_abs,EMG+NIRS+HRV,lt1,S006,2.96,-0.091
with_abs,EMG+NIRS+HRV,lt1,S007,4.956,-0.223
with_abs,EMG+NIRS+HRV,lt1,S008,2.9776,0.105
with_abs,EMG+NIRS+HRV,lt1,S009,8.6906,-0.526
with_abs,EMG+NIRS+HRV,lt1,S010,6.6452,-0.022
with_abs,EMG+NIRS+HRV,lt1,S011,3.4798,0.155
with_abs,EMG+NIRS+HRV,lt1,S012,3.2939,0.049
with_abs,EMG+NIRS+HRV,lt1,S013,5.7321,-0.129
with_abs,EMG+NIRS+HRV,lt1,S014,4.5202,0.07
with_abs,EMG+NIRS+HRV,lt1,S016,3.9267,-0.008
with_abs,EMG+NIRS+HRV,lt1,S017,4.7543,-0.123
with_abs,EMG+NIRS+HRV,lt1,S018,4.2445,0.104
with_abs,EMG+NIRS+HRV,lt1,S019,6.4272,0.054
noabs,EMG,lt1,S001,5.9026,-0.552
noabs,EMG,lt1,S002,3.2074,-0.008
noabs,EMG,lt1,S003,6.7029,-0.053
noabs,EMG,lt1,S004,3.9413,-0.184
noabs,EMG,lt1,S005,7.0009,-0.8
noabs,EMG,lt1,S006,3.0794,-0.147
noabs,EMG,lt1,S007,5.2224,-0.344
noabs,EMG,lt1,S008,3.1264,-0.002
noabs,EMG,lt1,S009,8.7209,-0.54
noabs,EMG,lt1,S010,6.6298,-0.019
noabs,EMG,lt1,S011,3.4748,0.155
noabs,EMG,lt1,S012,3.3565,-0.002
noabs,EMG,lt1,S013,5.7998,-0.153
noabs,EMG,lt1,S014,4.3896,0.107
noabs,EMG,lt1,S016,3.671,0.121
noabs,EMG,lt1,S017,5.0203,-0.245
noabs,EMG,lt1,S018,4.3251,0.068
noabs,EMG,lt1,S019,6.3263,0.08
noabs,NIRS,lt1,S001,6.0584,-0.648
noabs,NIRS,lt1,S002,3.2714,-0.022
noabs,NIRS,lt1,S003,6.6302,-0.006
noabs,NIRS,lt1,S004,3.2071,0.161
noabs,NIRS,lt1,S005,6.9887,-0.811
noabs,NIRS,lt1,S006,2.7946,0.008
noabs,NIRS,lt1,S007,5.1419,-0.309
noabs,NIRS,lt1,S008,2.8723,0.144
noabs,NIRS,lt1,S009,8.7647,-0.583
noabs,NIRS,lt1,S010,6.587,0.008
noabs,NIRS,lt1,S011,3.5781,0.095
noabs,NIRS,lt1,S012,3.3087,0.013
noabs,NIRS,lt1,S013,5.6044,-0.133
noabs,NIRS,lt1,S014,4.4219,0.086
noabs,NIRS,lt1,S016,3.7833,0.058
noabs,NIRS,lt1,S017,4.6367,-0.131
noabs,NIRS,lt1,S018,4.386,0.048
noabs,NIRS,lt1,S019,6.4572,0.059
noabs,EMG+NIRS,lt1,S001,5.9045,-0.561
noabs,EMG+NIRS,lt1,S002,3.1359,0.04
noabs,EMG+NIRS,lt1,S003,6.5815,-0.012
noabs,EMG+NIRS,lt1,S004,3.8952,-0.165
noabs,EMG+NIRS,lt1,S005,7.0685,-0.831
noabs,EMG+NIRS,lt1,S006,3.0592,-0.133
noabs,EMG+NIRS,lt1,S007,5.0882,-0.258
noabs,EMG+NIRS,lt1,S008,3.0975,0.017
noabs,EMG+NIRS,lt1,S009,8.608,-0.528
noabs,EMG+NIRS,lt1,S010,6.6144,-0.016
noabs,EMG+NIRS,lt1,S011,3.4936,0.146
noabs,EMG+NIRS,lt1,S012,3.2508,0.063
noabs,EMG+NIRS,lt1,S013,5.8361,-0.171
noabs,EMG+NIRS,lt1,S014,4.3935,0.101
noabs,EMG+NIRS,lt1,S016,3.7534,0.064
noabs,EMG+NIRS,lt1,S017,4.9883,-0.251
noabs,EMG+NIRS,lt1,S018,4.4285,0.03
noabs,EMG+NIRS,lt1,S019,6.4526,0.059
noabs,EMG+NIRS+HRV,lt1,S001,5.9264,-0.558
noabs,EMG+NIRS+HRV,lt1,S002,3.2548,-0.025
noabs,EMG+NIRS+HRV,lt1,S003,6.7245,-0.049
noabs,EMG+NIRS+HRV,lt1,S004,3.5628,-0.009
noabs,EMG+NIRS+HRV,lt1,S005,6.803,-0.723
noabs,EMG+NIRS+HRV,lt1,S006,3.0225,-0.118
noabs,EMG+NIRS+HRV,lt1,S007,5.0052,-0.23
noabs,EMG+NIRS+HRV,lt1,S008,3.0521,0.049
noabs,EMG+NIRS+HRV,lt1,S009,8.7201,-0.534
noabs,EMG+NIRS+HRV,lt1,S010,6.6396,-0.019
noabs,EMG+NIRS+HRV,lt1,S011,3.4547,0.16
noabs,EMG+NIRS+HRV,lt1,S012,3.3022,0.04
noabs,EMG+NIRS+HRV,lt1,S013,5.7754,-0.141
noabs,EMG+NIRS+HRV,lt1,S014,4.5545,0.057
noabs,EMG+NIRS+HRV,lt1,S016,3.9248,-0.007
noabs,EMG+NIRS+HRV,lt1,S017,4.6545,-0.088
noabs,EMG+NIRS+HRV,lt1,S018,4.2337,0.107
noabs,EMG+NIRS+HRV,lt1,S019,6.3341,0.08
with_abs,EMG,lt2,S001,4.6965,0.084
with_abs,EMG,lt2,S002,4.0033,-0.739
with_abs,EMG,lt2,S003,6.9008,-0.343
with_abs,EMG,lt2,S004,3.7089,-0.187
with_abs,EMG,lt2,S005,5.2067,-0.122
with_abs,EMG,lt2,S006,2.9908,-0.1
with_abs,EMG,lt2,S008,4.048,-0.946
with_abs,EMG,lt2,S009,9.1225,-0.718
with_abs,EMG,lt2,S010,7.8378,-0.577
with_abs,EMG,lt2,S011,3.7524,0.001
with_abs,EMG,lt2,S012,3.185,0.086
with_abs,EMG,lt2,S013,6.0379,-0.319
with_abs,EMG,lt2,S014,4.5553,0.051
with_abs,EMG,lt2,S016,3.7462,-0.017
with_abs,EMG,lt2,S017,5.0867,-0.396
with_abs,EMG,lt2,S018,5.0084,-6.607
with_abs,EMG,lt2,S019,7.4846,-0.404
noabs,EMG,lt2,S001,4.7149,0.08
noabs,EMG,lt2,S002,4.0038,-0.74
noabs,EMG,lt2,S003,6.861,-0.334
noabs,EMG,lt2,S004,3.6357,-0.166
noabs,EMG,lt2,S005,5.217,-0.129
noabs,EMG,lt2,S006,2.992,-0.1
noabs,EMG,lt2,S008,4.0361,-0.937
noabs,EMG,lt2,S009,9.0629,-0.706
noabs,EMG,lt2,S010,8.0485,-0.616
noabs,EMG,lt2,S011,3.6968,0.027
noabs,EMG,lt2,S012,3.1459,0.099
noabs,EMG,lt2,S013,6.073,-0.327
noabs,EMG,lt2,S014,4.5067,0.065
noabs,EMG,lt2,S016,3.7575,-0.018
noabs,EMG,lt2,S017,5.1239,-0.41
noabs,EMG,lt2,S018,5.0222,-6.644
noabs,EMG,lt2,S019,7.489,-0.405
with_abs,NIRS,lt2,S001,4.746,0.074
with_abs,NIRS,lt2,S002,4.0834,-0.828
with_abs,NIRS,lt2,S003,6.9258,-0.362
with_abs,NIRS,lt2,S004,3.6306,-0.194
with_abs,NIRS,lt2,S005,5.0635,-0.044
with_abs,NIRS,lt2,S006,2.801,-0.037
with_abs,NIRS,lt2,S008,4.1082,-1.075
with_abs,NIRS,lt2,S009,9.3433,-0.798
with_abs,NIRS,lt2,S010,8.0321,-0.638
with_abs,NIRS,lt2,S011,3.7914,-0.038
with_abs,NIRS,lt2,S012,3.3156,0.018
with_abs,NIRS,lt2,S013,6.0964,-0.355
with_abs,NIRS,lt2,S014,4.5346,0.054
with_abs,NIRS,lt2,S016,4.0532,-0.129
with_abs,NIRS,lt2,S017,5.2938,-0.487
with_abs,NIRS,lt2,S018,5.2758,-7.332
with_abs,NIRS,lt2,S019,7.5367,-0.436
noabs,NIRS,lt2,S001,4.9202,0.004
noabs,NIRS,lt2,S002,4.0225,-0.815
noabs,NIRS,lt2,S003,6.9813,-0.378
noabs,NIRS,lt2,S004,3.7008,-0.232
noabs,NIRS,lt2,S005,5.0487,-0.031
noabs,NIRS,lt2,S006,2.8294,-0.074
noabs,NIRS,lt2,S008,4.1056,-1.061
noabs,NIRS,lt2,S009,9.2882,-0.783
noabs,NIRS,lt2,S010,8.0354,-0.639
noabs,NIRS,lt2,S011,3.7877,-0.035
noabs,NIRS,lt2,S012,3.2359,0.052
noabs,NIRS,lt2,S013,6.1484,-0.37
noabs,NIRS,lt2,S014,4.5414,0.043
noabs,NIRS,lt2,S016,4.0549,-0.134
noabs,NIRS,lt2,S017,5.3169,-0.494
noabs,NIRS,lt2,S018,5.2714,-7.32
noabs,NIRS,lt2,S019,7.4837,-0.433
with_abs,EMG+NIRS,lt2,S001,4.7558,0.067
with_abs,EMG+NIRS,lt2,S002,3.9854,-0.726
with_abs,EMG+NIRS,lt2,S003,6.9112,-0.34
with_abs,EMG+NIRS,lt2,S004,3.6129,-0.157
with_abs,EMG+NIRS,lt2,S005,5.2141,-0.127
with_abs,EMG+NIRS,lt2,S006,2.985,-0.095
with_abs,EMG+NIRS,lt2,S008,3.9713,-0.914
with_abs,EMG+NIRS,lt2,S009,9.2099,-0.735
with_abs,EMG+NIRS,lt2,S010,8.0064,-0.608
with_abs,EMG+NIRS,lt2,S011,3.7015,0.022
with_abs,EMG+NIRS,lt2,S012,3.2414,0.067
with_abs,EMG+NIRS,lt2,S013,6.0342,-0.324
with_abs,EMG+NIRS,lt2,S014,4.5559,0.052
with_abs,EMG+NIRS,lt2,S016,3.7668,-0.011
with_abs,EMG+NIRS,lt2,S017,5.1581,-0.411
with_abs,EMG+NIRS,lt2,S018,4.9955,-6.574
with_abs,EMG+NIRS,lt2,S019,7.5145,-0.413
noabs,EMG+NIRS,lt2,S001,4.6916,0.091
noabs,EMG+NIRS,lt2,S002,3.9721,-0.721
