variant,feature_set,target,mono_weight,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,1.0,19,79,5.0894,5.1587,30.0,5.1587,5.2228,5.319,5.7093,0.049,0.53,92.2
noabs,EMG,lt2,1.0,19,79,5.0915,5.156,30.0,5.156,5.2171,5.31,5.6909,0.049,0.545,89.6
with_abs,NIRS,lt2,1.0,19,18,5.184,5.2459,30.0,5.2459,5.3045,5.3931,5.7588,0.028,0.429,96.2
noabs,NIRS,lt2,1.0,19,14,5.1111,5.1761,30.0,5.1761,5.2376,5.3296,5.7024,0.04,0.526,112.7
with_abs,EMG+NIRS,lt2,1.0,19,97,5.1241,5.194,30.0,5.194,5.2585,5.3552,5.7455,0.039,0.531,101.1
noabs,EMG+NIRS,lt2,1.0,19,93,5.0649,5.1321,30.0,5.1321,5.1955,5.2912,5.6793,0.054,0.588,105.3
with_abs,EMG+NIRS+HRV,lt2,1.0,19,107,5.0135,5.0842,30.0,5.0842,5.1497,5.2481,5.6446,0.07,0.687,86.7
noabs,EMG+NIRS+HRV,lt2,1.0,19,101,5.0312,5.0991,30.0,5.0991,5.1624,5.2576,5.6426,0.067,0.644,90.3
with_abs,EMG,lt1,1.0,14,79,5.1882,5.2434,30.0,5.2434,5.2953,5.3746,5.7094,0.073,0.566,71.3
noabs,EMG,lt1,1.0,14,79,5.1805,5.2338,30.0,5.2338,5.285,5.3637,5.697,0.073,0.577,68.1
with_abs,NIRS,lt1,1.0,14,18,5.243,5.2954,30.0,5.2954,5.3456,5.4231,5.7562,0.053,0.474,66.9
noabs,NIRS,lt1,1.0,14,14,5.2629,5.3173,30.0,5.3173,5.3686,5.447,5.7778,0.04,0.381,59.6
with_abs,EMG+NIRS,lt1,1.0,14,97,5.1376,5.1957,30.0,5.1957,5.2505,5.3343,5.6848,0.08,0.661,72.2
noabs,EMG+NIRS,lt1,1.0,14,93,5.1459,5.1996,30.0,5.1996,5.2506,5.3291,5.6635,0.082,0.631,79.1
with_abs,EMG+NIRS+HRV,lt1,1.0,14,107,5.124,5.179,30.0,5.179,5.2317,5.3133,5.6589,0.082,0.653,74.4
noabs,EMG+NIRS+HRV,lt1,1.0,14,101,5.1318,5.1865,30.0,5.1865,5.2394,5.3205,5.6628,0.083,0.655,82.3
