variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
with_abs,EMG,lt2,S001,3.7792,3.9895,3.883,0.4,linear
with_abs,EMG,lt2,S002,2.0322,4.1421,1.2894,0.5,linear
with_abs,EMG,lt2,S003,4.0613,4.7875,3.5693,0.45,linear
with_abs,EMG,lt2,S004,4.2237,5.0217,3.5877,0.55,linear
with_abs,EMG,lt2,S005,4.8135,4.3451,5.2218,0.4,tcn
with_abs,EMG,lt2,S006,1.6807,2.1621,2.7536,0.55,tcn
with_abs,EMG,lt2,S008,1.8576,3.0256,1.2995,0.5,linear
with_abs,EMG,lt2,S009,6.7756,6.7031,6.8741,0.5,tcn
with_abs,EMG,lt2,S010,3.7876,4.6627,3.5428,0.45,linear
with_abs,EMG,lt2,S011,1.7036,2.3093,2.4613,0.35,tcn
with_abs,EMG,lt2,S012,3.3496,4.4791,2.618,0.45,linear
with_abs,EMG,lt2,S013,2.9774,4.7666,1.9475,0.45,linear
with_abs,EMG,lt2,S014,2.6286,3.3573,2.5449,0.5,linear
with_abs,EMG,lt2,S015,5.5008,5.0287,6.1285,0.45,tcn
with_abs,EMG,lt2,S016,1.1114,1.8468,1.8353,0.55,linear
with_abs,EMG,lt2,S017,1.4801,3.7051,1.7975,0.5,linear
with_abs,EMG,lt2,S018,5.0644,7.3502,2.9266,0.55,linear
with_abs,EMG,lt2,S019,4.4581,5.8218,3.2366,0.5,linear
noabs,EMG,lt2,S001,3.7253,3.7909,3.883,0.5,tcn
noabs,EMG,lt2,S002,2.1267,4.3838,1.2894,0.5,linear
noabs,EMG,lt2,S003,4.0328,4.7628,3.5693,0.45,linear
noabs,EMG,lt2,S004,3.7166,4.2414,3.5877,0.45,linear
noabs,EMG,lt2,S005,4.7343,4.2899,5.2218,0.45,tcn
noabs,EMG,lt2,S006,1.194,1.9432,2.7536,0.6,tcn
noabs,EMG,lt2,S008,2.2665,3.3727,1.2995,0.6,linear
noabs,EMG,lt2,S009,6.7692,6.6527,6.8741,0.4,tcn
noabs,EMG,lt2,S010,3.7292,4.5583,3.5428,0.45,linear
noabs,EMG,lt2,S011,1.5848,1.9604,2.4613,0.4,tcn
noabs,EMG,lt2,S012,3.138,4.009,2.618,0.45,linear
noabs,EMG,lt2,S013,2.6366,4.6699,1.9475,0.35,linear
noabs,EMG,lt2,S014,2.3855,2.9707,2.5449,0.45,linear
noabs,EMG,lt2,S015,5.5997,5.2688,6.1285,0.45,tcn
noabs,EMG,lt2,S016,1.021,1.877,1.8353,0.6,linear
noabs,EMG,lt2,S017,1.8309,4.4163,1.7975,0.5,linear
noabs,EMG,lt2,S018,5.4742,7.61,2.9266,0.6,linear
noabs,EMG,lt2,S019,4.2421,5.6584,3.2366,0.45,linear
with_abs,NIRS,lt2,S001,5.746,4.531,5.9625,0.1,tcn
with_abs,NIRS,lt2,S002,3.5747,2.8381,4.4217,0.2,tcn
with_abs,NIRS,lt2,S003,9.6178,5.3126,9.6178,0.0,tcn
with_abs,NIRS,lt2,S004,1.8232,2.6919,1.7231,0.2,linear
with_abs,NIRS,lt2,S005,4.5468,5.8396,4.4448,0.2,linear
with_abs,NIRS,lt2,S006,1.9356,2.8665,1.8892,0.15,linear
