variant,feature_set,target,n_subjects,n_features,raw_ensemble_mae,raw_tcn_mae,raw_lin_mae,kalman_mae_min,best_sigma_obs,mean_alpha,r2,rho,sec
with_abs,EMG,lt2,19,79,3.5725,4.4236,3.3685,3.5832,5.0,0.478,0.535,0.777,230.1
noabs,EMG,lt2,19,79,3.4923,4.3493,3.3685,3.5034,5.0,0.481,0.551,0.784,226.8
with_abs,NIRS,lt2,19,18,5.3679,4.7655,5.589,5.362,5.0,0.125,-0.192,0.511,216.5
noabs,NIRS,lt2,19,14,4.613,4.8423,4.7141,4.5996,10.0,0.1,0.228,0.591,222.5
with_abs,EMG+NIRS,lt2,19,97,3.9611,4.0562,4.1953,3.9605,5.0,0.231,0.4,0.686,229.3
noabs,EMG+NIRS,lt2,19,93,3.3285,4.0589,3.4909,3.3246,5.0,0.236,0.604,0.786,227.5
with_abs,EMG+NIRS+HRV,lt2,19,107,2.613,3.6001,2.6189,2.6211,5.0,0.044,0.762,0.889,227.8
noabs,EMG+NIRS+HRV,lt2,19,101,2.6423,3.6932,2.704,2.6347,5.0,0.161,0.755,0.882,231.9
with_abs,EMG,lt1,14,79,3.1447,4.0378,3.1408,3.1367,5.0,0.075,0.65,0.834,162.1
noabs,EMG,lt1,14,79,3.1346,4.0985,3.1408,3.1258,5.0,0.075,0.652,0.835,149.4
with_abs,NIRS,lt1,14,18,5.1054,5.2563,5.1012,5.103,5.0,0.021,-0.108,0.622,139.7
noabs,NIRS,lt1,14,14,4.9177,5.2492,4.9744,4.8992,10.0,0.039,0.069,0.659,139.7
with_abs,EMG+NIRS,lt1,14,97,3.3087,3.8149,3.3697,3.3036,5.0,0.061,0.633,0.825,147.2
noabs,EMG+NIRS,lt1,14,93,3.052,3.8216,3.0816,3.0388,5.0,0.039,0.683,0.842,146.7
with_abs,EMG+NIRS+HRV,lt1,14,107,2.8852,3.6067,2.9386,2.8949,5.0,0.05,0.706,0.862,147.7
noabs,EMG+NIRS+HRV,lt1,14,101,2.8432,3.7579,2.8676,2.845,5.0,0.036,0.73,0.864,148.0
