script,variant,feature_set,target,subject_id,mae_min,trained
v0011,best_model,EMG,lt1,S002,3.5538,0
v0011,best_model,EMG,lt1,S003,3.1092,1
v0011,best_model,EMG,lt1,S004,2.5549,0
v0011,best_model,EMG,lt1,S006,1.3247,0
v0011,best_model,EMG,lt1,S008,1.8773,0
v0011,best_model,EMG,lt1,S009,5.0145,1
v0011,best_model,EMG,lt1,S010,2.4233,1
v0011,best_model,EMG,lt1,S011,2.1991,0
v0011,best_model,EMG,lt1,S013,1.5619,1
v0011,best_model,EMG,lt1,S014,2.0155,0
v0011,best_model,EMG,lt1,S016,2.2665,0
v0011,best_model,EMG,lt1,S017,1.8822,1
v0011,best_model,EMG,lt1,S018,1.6032,0
v0011,best_model,EMG,lt1,S019,3.0556,1
v0011,best_model,EMG,lt2,S001,3.8676,0
v0011,best_model,EMG,lt2,S002,1.0812,0
v0011,best_model,EMG,lt2,S003,3.1135,1
v0011,best_model,EMG,lt2,S004,2.4195,0
v0011,best_model,EMG,lt2,S005,5.0199,0
v0011,best_model,EMG,lt2,S006,1.6431,0
v0011,best_model,EMG,lt2,S007,4.5084,0
v0011,best_model,EMG,lt2,S008,1.2292,0
v0011,best_model,EMG,lt2,S009,6.0498,1
v0011,best_model,EMG,lt2,S010,3.41,1
v0011,best_model,EMG,lt2,S011,2.1099,0
v0011,best_model,EMG,lt2,S012,1.4868,0
v0011,best_model,EMG,lt2,S013,1.7428,1
v0011,best_model,EMG,lt2,S014,1.9011,0
v0011,best_model,EMG,lt2,S015,5.2956,0
v0011,best_model,EMG,lt2,S016,1.4029,0
v0011,best_model,EMG,lt2,S017,1.37,1
v0011,best_model,EMG,lt2,S018,2.7345,0
v0011,best_model,EMG,lt2,S019,2.8421,1
v0011,best_model,EMG+NIRS,lt1,S002,2.3741,0
v0011,best_model,EMG+NIRS,lt1,S003,2.4124,1
v0011,best_model,EMG+NIRS,lt1,S004,2.7805,0
v0011,best_model,EMG+NIRS,lt1,S006,1.3958,0
v0011,best_model,EMG+NIRS,lt1,S008,2.5429,0
v0011,best_model,EMG+NIRS,lt1,S009,3.821,1
v0011,best_model,EMG+NIRS,lt1,S010,2.7909,1
v0011,best_model,EMG+NIRS,lt1,S011,1.8058,0
v0011,best_model,EMG+NIRS,lt1,S013,1.6164,1
v0011,best_model,EMG+NIRS,lt1,S014,1.6496,0
v0011,best_model,EMG+NIRS,lt1,S016,1.7226,0
v0011,best_model,EMG+NIRS,lt1,S017,1.5791,1
v0011,best_model,EMG+NIRS,lt1,S018,1.8973,0
v0011,best_model,EMG+NIRS,lt1,S019,2.5163,1
v0011,best_model,EMG+NIRS,lt2,S001,3.2049,0
v0011,best_model,EMG+NIRS,lt2,S002,1.3844,0
v0011,best_model,EMG+NIRS,lt2,S003,2.0183,1
v0011,best_model,EMG+NIRS,lt2,S004,2.3107,0
v0011,best_model,EMG+NIRS,lt2,S005,5.4254,0
v0011,best_model,EMG+NIRS,lt2,S006,1.6424,0
v0011,best_model,EMG+NIRS,lt2,S007,3.3464,0
v0011,best_model,EMG+NIRS,lt2,S008,1.6052,0
v0011,best_model,EMG+NIRS,lt2,S009,6.4906,1
v0011,best_model,EMG+NIRS,lt2,S010,2.6194,1
v0011,best_model,EMG+NIRS,lt2,S011,1.5801,0
v0011,best_model,EMG+NIRS,lt2,S012,1.3261,0
v0011,best_model,EMG+NIRS,lt2,S013,1.8095,1
v0011,best_model,EMG+NIRS,lt2,S014,1.3102,0
v0011,best_model,EMG+NIRS,lt2,S015,4.4286,0
v0011,best_model,EMG+NIRS,lt2,S016,0.7716,0
v0011,best_model,EMG+NIRS,lt2,S017,1.3147,1
v0011,best_model,EMG+NIRS,lt2,S018,2.4106,0
v0011,best_model,EMG+NIRS,lt2,S019,3.1673,1
v0011,best_model,EMG+NIRS+HRV,lt1,S002,2.1126,0
v0011,best_model,EMG+NIRS+HRV,lt1,S003,3.3748,1
v0011,best_model,EMG+NIRS+HRV,lt1,S004,1.7811,0
v0011,best_model,EMG+NIRS+HRV,lt1,S006,1.2351,0
v0011,best_model,EMG+NIRS+HRV,lt1,S008,2.385,0
v0011,best_model,EMG+NIRS+HRV,lt1,S009,2.6675,1
v0011,best_model,EMG+NIRS+HRV,lt1,S010,1.7508,1
v0011,best_model,EMG+NIRS+HRV,lt1,S011,1.5769,0
v0011,best_model,EMG+NIRS+HRV,lt1,S013,1.6992,1
v0011,best_model,EMG+NIRS+HRV,lt1,S014,1.0446,0
v0011,best_model,EMG+NIRS+HRV,lt1,S016,1.0651,0
v0011,best_model,EMG+NIRS+HRV,lt1,S017,1.2922,1
v0011,best_model,EMG+NIRS+HRV,lt1,S018,2.5741,0
v0011,best_model,EMG+NIRS+HRV,lt1,S019,1.8061,1
v0011,best_model,EMG+NIRS+HRV,lt2,S001,0.7127,0
v0011,best_model,EMG+NIRS+HRV,lt2,S002,1.5071,0
v0011,best_model,EMG+NIRS+HRV,lt2,S003,3.834,1
v0011,best_model,EMG+NIRS+HRV,lt2,S004,1.6278,0
v0011,best_model,EMG+NIRS+HRV,lt2,S005,1.6476,0
v0011,best_model,EMG+NIRS+HRV,lt2,S006,0.7198,0
v0011,best_model,EMG+NIRS+HRV,lt2,S007,0.9643,0
v0011,best_model,EMG+NIRS+HRV,lt2,S008,1.3246,0
v0011,best_model,EMG+NIRS+HRV,lt2,S009,2.2839,1
v0011,best_model,EMG+NIRS+HRV,lt2,S010,1.8028,1
v0011,best_model,EMG+NIRS+HRV,lt2,S011,1.6549,0
v0011,best_model,EMG+NIRS+HRV,lt2,S012,1.4308,0
v0011,best_model,EMG+NIRS+HRV,lt2,S013,1.8326,1
v0011,best_model,EMG+NIRS+HRV,lt2,S014,0.6774,0
v0011,best_model,EMG+NIRS+HRV,lt2,S015,3.1637,0
v0011,best_model,EMG+NIRS+HRV,lt2,S016,1.4543,0
v0011,best_model,EMG+NIRS+HRV,lt2,S017,0.8254,1
v0011,best_model,EMG+NIRS+HRV,lt2,S018,2.0346,0
v0011,best_model,EMG+NIRS+HRV,lt2,S019,1.0012,1
v0011,best_model,HRV,lt1,S002,1.3014,0
v0011,best_model,HRV,lt1,S003,3.8259,1
v0011,best_model,HRV,lt1,S004,1.338,0
v0011,best_model,HRV,lt1,S006,1.2933,0
v0011,best_model,HRV,lt1,S008,2.3764,0
v0011,best_model,HRV,lt1,S009,3.2421,1
v0011,best_model,HRV,lt1,S010,2.4682,1
v0011,best_model,HRV,lt1,S011,1.0377,0
v0011,best_model,HRV,lt1,S013,2.0605,1
v0011,best_model,HRV,lt1,S014,1.9297,0
v0011,best_model,HRV,lt1,S016,0.989,0
v0011,best_model,HRV,lt1,S017,1.5376,1
v0011,best_model,HRV,lt1,S018,3.7894,0
v0011,best_model,HRV,lt1,S019,1.4324,1
v0011,best_model,HRV,lt2,S001,1.7572,0
v0011,best_model,HRV,lt2,S002,1.5831,0
v0011,best_model,HRV,lt2,S003,3.4708,1
v0011,best_model,HRV,lt2,S004,1.6383,0
v0011,best_model,HRV,lt2,S005,2.4956,0
v0011,best_model,HRV,lt2,S006,0.6526,0
v0011,best_model,HRV,lt2,S007,0.9015,0
v0011,best_model,HRV,lt2,S008,1.2771,0
v0011,best_model,HRV,lt2,S009,1.4212,1
v0011,best_model,HRV,lt2,S010,3.6623,1
v0011,best_model,HRV,lt2,S011,1.4229,0
v0011,best_model,HRV,lt2,S012,1.3461,0
v0011,best_model,HRV,lt2,S013,1.9755,1
v0011,best_model,HRV,lt2,S014,1.8736,0
v0011,best_model,HRV,lt2,S015,1.5242,0
v0011,best_model,HRV,lt2,S016,1.2979,0
v0011,best_model,HRV,lt2,S017,0.6239,1
v0011,best_model,HRV,lt2,S018,2.7913,0
v0011,best_model,HRV,lt2,S019,1.5987,1
