subject_id,target,best_model,best_mae,trained
S001,lt2,v0011,0.7127,0
S002,lt1,v0011,2.1126,0
S002,lt2,v0011,1.5071,0
S003,lt1,v0107,2.999,1
S003,lt2,v0107,2.7431,1
S004,lt1,v0011,1.7811,0
S004,lt2,v0103,1.3662,0
S005,lt2,v0011,1.6476,0
S006,lt1,v0011,1.2351,0
S006,lt2,v0011,0.7198,0
S007,lt2,v0011,0.9643,0
S008,lt1,v0011,2.385,0
S008,lt2,v0011,1.3246,0
S009,lt1,v0011,2.6675,1
S009,lt2,v0011,2.2839,1
S010,lt1,v0011,1.7508,1
S010,lt2,v0011,1.8028,1
S011,lt1,v0011,1.5769,0
S011,lt2,v0107,1.2582,0
S012,lt2,v0104,1.252,0
S013,lt1,v0011,1.6992,1
S013,lt2,v0011,1.8326,1
S014,lt1,v0011,1.0446,0
S014,lt2,v0011,0.6774,0
S015,lt2,v0103,2.3441,0
S016,lt1,v0011,1.0651,0
S016,lt2,v0011,1.4543,0
S017,lt1,v0011,1.2922,1
S017,lt2,v0011,0.8254,1
S018,lt1,v0106b,2.0812,0
S018,lt2,v0103,1.8548,0
S019,lt1,v0011,1.8061,1
S019,lt2,v0011,1.0012,1
