script,target,mae_untrained,mae_trained,delta,ratio
v0011,lt1,1.722,2.098,0.376,1.22
v0011,lt2,1.455,1.93,0.475,1.33
v0102,lt1,4.323,6.472,2.149,1.5
v0102,lt2,5.891,6.603,0.712,1.12
v0103,lt1,4.004,6.797,2.793,1.7
v0103,lt2,2.521,4.616,2.095,1.83
v0104,lt1,3.544,6.282,2.738,1.77
v0104,lt2,3.015,3.239,0.224,1.07
v0105,lt1,3.966,6.428,2.462,1.62
v0105,lt2,4.102,6.379,2.277,1.56
v0106a,lt1,3.44,6.28,2.84,1.83
v0106a,lt2,3.655,6.78,3.125,1.85
v0106b,lt1,2.697,4.507,1.81,1.67
v0106b,lt2,3.248,3.901,0.653,1.2
v0106c,lt1,3.757,6.472,2.715,1.72
v0106c,lt2,3.887,6.997,3.11,1.8
v0107,lt1,2.656,2.905,0.249,1.09
v0107,lt2,2.493,2.74,0.247,1.1
