variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
noabs,EMG,lt1,18,4130,4.8314,4.8355,5,4.8355,4.8433,4.853,4.8646,4.8937,4.9594,5.039,5.2668,0.1,0.445,0.0
with_abs,EMG,lt1,18,4130,4.7684,4.7722,5,4.7722,4.7789,4.7876,4.7989,4.8263,4.8915,4.9793,5.2049,0.149,0.476,0.0
noabs,EMG+NIRS,lt1,18,4130,4.32,4.3319,5,4.3319,4.3512,4.3725,4.3957,4.445,4.5431,4.6589,4.9532,0.298,0.604,0.0
with_abs,EMG+NIRS,lt1,18,4130,4.5766,4.5896,5,4.5896,4.61,4.6322,4.6552,4.703,4.7991,4.9123,5.1562,0.236,0.568,0.0
with_abs,EMG+NIRS+HRV,lt1,18,4130,4.1411,4.1515,5,4.1515,4.171,4.1933,4.2169,4.2695,4.3863,4.5219,4.8261,0.377,0.67,0.0
noabs,NIRS,lt1,18,4130,3.9497,3.9641,5,3.9641,3.987,4.0123,4.0394,4.0983,4.2243,4.3743,4.7493,0.364,0.765,0.0
with_abs,NIRS,lt1,18,4130,3.8632,3.8821,5,3.8821,3.9114,3.9423,3.9737,4.0392,4.1731,4.3412,4.7652,0.441,0.701,0.0
noabs,EMG,lt2,18,3634,5.3024,5.3079,5,5.3079,5.318,5.3285,5.3389,5.3591,5.3955,5.4279,5.4527,0.086,0.471,0.0
with_abs,EMG,lt2,18,3634,5.3194,5.3204,5,5.3204,5.3258,5.3317,5.339,5.3549,5.3889,5.4233,5.4855,0.07,0.431,0.0
noabs,EMG+NIRS,lt2,18,3634,4.8505,4.8619,5,4.8619,4.8808,4.9005,4.9202,4.9583,5.0274,5.0998,5.2465,0.211,0.503,0.0
with_abs,EMG+NIRS,lt2,18,3634,4.7649,4.7762,5,4.7762,4.7948,4.8141,4.8337,4.8719,4.9387,5.0037,5.129,0.255,0.568,0.0
noabs,EMG+NIRS+HRV,lt2,18,3634,4.1569,4.1642,5,4.1642,4.1763,4.1892,4.2028,4.2328,4.2994,4.3872,4.5725,0.381,0.613,0.0
with_abs,EMG+NIRS+HRV,lt2,18,3634,3.9766,3.9852,5,3.9852,3.9998,4.0157,4.032,4.0647,4.1291,4.2044,4.3782,0.458,0.666,0.0
noabs,NIRS,lt2,18,3634,4.4009,4.4296,5,4.4296,4.4738,4.519,4.5638,4.6497,4.8037,4.9569,5.2014,0.245,0.596,0.0
with_abs,NIRS,lt2,18,3634,5.0072,5.0273,5,5.0273,5.0604,5.0939,5.1271,5.1922,5.3073,5.4297,5.6205,0.016,0.49,0.0
