variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG,lt1,S001,2.6023,0.706
noabs,EMG,lt1,S002,3.9728,-0.684
noabs,EMG,lt1,S003,4.6875,0.462
noabs,EMG,lt1,S004,1.6997,0.705
noabs,EMG,lt1,S005,6.0709,-0.243
noabs,EMG,lt1,S006,1.4889,0.671
noabs,EMG,lt1,S007,3.2116,0.432
noabs,EMG,lt1,S008,4.4248,-1.352
noabs,EMG,lt1,S009,12.7998,-1.956
noabs,EMG,lt1,S010,6.6301,-0.028
noabs,EMG,lt1,S011,1.4828,0.812
noabs,EMG,lt1,S012,1.412,0.753
noabs,EMG,lt1,S013,2.1857,0.813
noabs,EMG,lt1,S014,2.8705,0.543
noabs,EMG,lt1,S016,1.6749,0.786
noabs,EMG,lt1,S017,3.9312,0.194
noabs,EMG,lt1,S018,0.8356,0.952
noabs,EMG,lt1,S019,5.3008,0.334
noabs,EMG,lt2,S001,5.5771,-0.199
noabs,EMG,lt2,S002,5.4859,-2.275
noabs,EMG,lt2,S003,2.4806,0.79
noabs,EMG,lt2,S004,2.1698,0.453
noabs,EMG,lt2,S005,7.0501,-1.005
noabs,EMG,lt2,S006,3.3023,-0.513
noabs,EMG,lt2,S008,2.2321,0.285
noabs,EMG,lt2,S009,5.8182,0.3
noabs,EMG,lt2,S010,2.849,0.747
noabs,EMG,lt2,S011,2.6523,0.447
noabs,EMG,lt2,S012,1.4832,0.693
noabs,EMG,lt2,S013,2.2825,0.786
noabs,EMG,lt2,S014,2.6103,0.592
noabs,EMG,lt2,S016,1.1172,0.911
noabs,EMG,lt2,S017,2.7571,0.452
noabs,EMG,lt2,S018,1.644,-1.551
noabs,EMG,lt2,S019,4.5077,0.468
noabs,EMG+NIRS,lt1,S001,2.4179,0.728
noabs,EMG+NIRS,lt1,S002,3.4236,-0.21
noabs,EMG+NIRS,lt1,S003,6.998,-0.151
noabs,EMG+NIRS,lt1,S004,1.6347,0.731
noabs,EMG+NIRS,lt1,S005,3.6762,0.529
noabs,EMG+NIRS,lt1,S006,1.3239,0.721
noabs,EMG+NIRS,lt1,S007,1.9026,0.766
noabs,EMG+NIRS,lt1,S008,3.2021,-0.149
noabs,EMG+NIRS,lt1,S009,8.5417,-0.278
noabs,EMG+NIRS,lt1,S010,4.312,0.469
noabs,EMG+NIRS,lt1,S011,1.6775,0.767
noabs,EMG+NIRS,lt1,S012,2.469,0.413
noabs,EMG+NIRS,lt1,S013,1.9528,0.77
noabs,EMG+NIRS,lt1,S014,1.4082,0.879
noabs,EMG+NIRS,lt1,S016,1.5121,0.847
noabs,EMG+NIRS,lt1,S017,4.9205,-0.181
noabs,EMG+NIRS,lt1,S018,1.4257,0.855
noabs,EMG+NIRS,lt1,S019,4.9055,0.442
noabs,EMG+NIRS,lt2,S001,4.1639,0.298
noabs,EMG+NIRS,lt2,S002,2.3903,0.215
noabs,EMG+NIRS,lt2,S003,3.955,0.569
noabs,EMG+NIRS,lt2,S004,1.6179,0.675
noabs,EMG+NIRS,lt2,S005,7.3009,-1.127
noabs,EMG+NIRS,lt2,S006,4.9459,-2.871
noabs,EMG+NIRS,lt2,S008,0.8572,0.879
noabs,EMG+NIRS,lt2,S009,2.8795,0.829
noabs,EMG+NIRS,lt2,S010,3.161,0.748
noabs,EMG+NIRS,lt2,S011,2.6015,0.505
noabs,EMG+NIRS,lt2,S012,1.8074,0.586
noabs,EMG+NIRS,lt2,S013,3.3713,0.597
