ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0301,lt1,EMG,0,212,98.41573,-956.5843,-251.82334899902344,275.90625,-604.5167846679688,302.22784423828125,177.26092529296875,False,False,False
v0301,lt1,EMG,1,126,190.29907,-434.70093,303.5491943359375,252.83709716796875,-246.37213134765625,629.6110229492188,425.7501525878906,False,False,False
v0301,lt1,EMG,2,289,715.6045,-724.3955,-237.18280029296875,197.0767822265625,-544.7193603515625,331.9632873535156,284.7660827636719,False,False,False
v0301,lt1,EMG,3,142,234.35553,-470.64447,-16.069515228271484,282.0415344238281,-620.6849365234375,408.59844970703125,128.80746459960938,False,False,False
v0301,lt1,EMG,4,234,104.008606,-1060.9913,-146.836669921875,268.4956970214844,-671.286865234375,276.00982666015625,331.65472412109375,False,False,False
v0301,lt1,EMG,5,111,232.11374,-317.88626,41.793617248535156,126.06716918945312,-182.56820678710938,225.23316955566406,94.8289794921875,False,False,False
v0301,lt1,EMG,6,197,155.19516,-824.8048,-99.80704498291016,147.1428985595703,-404.6385498046875,201.7210693359375,238.64849853515625,False,False,False
v0301,lt1,EMG,7,120,166.98906,-428.01093,189.23207092285156,201.72186279296875,-223.44642639160156,450.55682373046875,319.79058837890625,False,False,False
v0301,lt1,EMG,8,326,275.24228,-1349.7577,46.27336120605469,256.654541015625,-409.0145263671875,660.0184326171875,583.5310668945312,False,False,False
v0301,lt1,EMG,9,290,723.96344,-721.03656,-358.1295471191406,327.2113342285156,-705.5267333984375,336.95770263671875,362.2746887207031,False,False,False
v0301,lt1,EMG,10,153,228.6978,-531.3022,-1.2986047267913818,259.6439208984375,-346.0362548828125,576.1978759765625,150.0368194580078,False,False,False
v0301,lt1,EMG,11,133,115.2754,-544.7246,-226.15342712402344,151.3551788330078,-395.16912841796875,184.3567657470703,63.070152282714844,False,False,False
v0301,lt1,EMG,12,235,274.29776,-895.7022,-321.867431640625,249.54568481445312,-652.1126708984375,401.08587646484375,109.27455139160156,False,False,False
v0301,lt1,EMG,13,197,298.84982,-681.1502,-361.85992431640625,340.1790466308594,-847.8667602539062,292.5578918457031,202.4956512451172,False,False,False
