variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec,version
noabs,EMG,lt1,18,79,4.2202,4.2956,30.0,4.2956,4.3748,4.4733,4.767,0.241,0.624,108.5,v0301
noabs,EMG,lt2,18,79,3.6312,3.6527,30.0,3.6527,3.7008,3.791,4.1315,0.382,0.675,62.7,v0301
noabs,EMG+NIRS,lt1,18,93,3.4937,3.607,30.0,3.607,3.7073,3.8331,4.268,0.498,0.754,124.0,v0301
noabs,EMG+NIRS,lt2,18,93,3.4056,3.4866,30.0,3.4866,3.5709,3.6815,4.096,0.484,0.698,112.2,v0301
noabs,EMG+NIRS+HRV,lt1,18,101,3.286,3.4316,30.0,3.4316,3.5548,3.7205,4.292,0.563,0.776,131.0,v0301
noabs,EMG+NIRS+HRV,lt2,18,101,2.7618,2.9153,30.0,2.9153,3.0291,3.192,3.7604,0.659,0.807,109.7,v0301
noabs,EMG,lt1,18,79,4.5315,4.6219,30.0,4.6219,4.7041,4.8114,5.1849,-0.061,0.492,111.4,v0302
noabs,EMG,lt2,18,79,3.307,3.4273,30.0,3.4273,3.5303,3.6706,4.1572,0.435,0.697,88.4,v0302
noabs,EMG+NIRS,lt1,18,93,3.8983,4.0103,30.0,4.0103,4.108,4.2308,4.6295,0.362,0.695,132.6,v0302
noabs,EMG+NIRS,lt2,18,93,3.0576,3.1884,30.0,3.1884,3.2898,3.4248,3.8963,0.555,0.738,113.7,v0302
noabs,EMG+NIRS+HRV,lt1,18,101,3.807,3.9242,30.0,3.9242,4.0257,4.1561,4.6111,0.356,0.701,151.4,v0302
noabs,EMG+NIRS+HRV,lt2,18,101,2.8038,2.9225,30.0,2.9225,3.0053,3.1264,3.5974,0.661,0.806,121.9,v0302
noabs,EMG,lt1,18,79,4.3264,4.3815,30.0,4.3815,4.4352,4.537,4.93,0.154,0.568,125.9,v0303
noabs,EMG,lt2,18,79,3.5308,3.5389,30.0,3.5389,3.5667,3.6348,3.9875,0.488,0.745,91.7,v0303
noabs,EMG+NIRS,lt1,18,93,3.6398,3.7177,30.0,3.7177,3.7795,3.8894,4.3101,0.452,0.709,176.6,v0303
noabs,EMG+NIRS,lt2,18,93,3.3371,3.4087,30.0,3.4087,3.4935,3.6171,4.0456,0.57,0.748,148.1,v0303
noabs,EMG+NIRS+HRV,lt1,18,101,3.225,3.3453,30.0,3.3453,3.4515,3.6011,4.141,0.608,0.808,177.8,v0303
noabs,EMG+NIRS+HRV,lt2,18,101,3.2123,3.3455,30.0,3.3455,3.4698,3.632,4.2052,0.612,0.78,127.8,v0303
noabs,EMG,lt1,18,79,4.3427,4.4039,30.0,4.4039,4.4578,4.5578,4.9665,0.07,0.567,116.3,v0304
noabs,EMG,lt2,18,79,3.2205,3.3258,30.0,3.3258,3.4058,3.5435,4.0349,0.526,0.73,115.1,v0304
noabs,EMG+NIRS,lt1,18,93,3.9038,4.0083,30.0,4.0083,4.0853,4.196,4.5881,0.35,0.701,165.6,v0304
noabs,EMG+NIRS,lt2,18,93,2.9443,3.0768,30.0,3.0768,3.176,3.32,3.8476,0.633,0.792,143.9,v0304
noabs,EMG+NIRS+HRV,lt1,18,101,3.6319,3.7329,30.0,3.7329,3.8308,3.9745,4.4673,0.426,0.734,176.4,v0304
noabs,EMG+NIRS+HRV,lt2,18,101,2.7346,2.8744,30.0,2.8744,2.974,3.1025,3.6391,0.709,0.836,148.2,v0304
noabs,EMG,lt1,18,79,4.0054,4.022,30.0,4.022,4.0839,4.1873,4.6036,0.368,0.693,104.4,v0305
noabs,EMG,lt2,18,79,3.4793,3.4687,30.0,3.4687,3.5129,3.5993,3.9759,0.533,0.78,114.5,v0305
noabs,EMG+NIRS,lt1,18,93,3.6824,3.716,30.0,3.716,3.7743,3.8663,4.2982,0.479,0.728,171.2,v0305
noabs,EMG+NIRS,lt2,18,93,3.4493,3.4565,30.0,3.4565,3.5213,3.6388,4.0731,0.569,0.751,148.4,v0305
noabs,EMG+NIRS+HRV,lt1,18,101,3.5838,3.6584,30.0,3.6584,3.7558,3.9067,4.46,0.516,0.76,209.5,v0305
noabs,EMG+NIRS+HRV,lt2,18,101,2.8437,2.9362,30.0,2.9362,3.0583,3.2407,3.8856,0.693,0.848,143.1,v0305
noabs,EMG,lt1,18,79,5.0089,5.0082,30.0,5.0082,5.0457,5.1119,5.4103,-0.259,0.469,131.7,v0306
noabs,EMG,lt2,18,79,3.3003,3.3773,30.0,3.3773,3.4695,3.6193,4.1203,0.519,0.724,139.2,v0306
noabs,EMG+NIRS,lt1,18,93,3.9292,3.9848,30.0,3.9848,4.0493,4.1409,4.5439,0.295,0.684,160.6,v0306
noabs,EMG+NIRS,lt2,18,93,3.0335,3.1455,30.0,3.1455,3.2611,3.4164,3.9259,0.607,0.768,149.0,v0306
noabs,EMG+NIRS+HRV,lt1,18,101,3.8066,3.8766,30.0,3.8766,3.9507,4.0782,4.5565,0.339,0.707,197.8,v0306
noabs,EMG+NIRS+HRV,lt2,18,101,2.6707,2.7825,30.0,2.7825,2.893,3.0417,3.6007,0.729,0.845,133.9,v0306
noabs,EMG,lt1,18,79,4.0547,5.0402,30.0,5.0402,5.29,5.4297,5.6834,0.382,0.699,105.5,v0307
noabs,EMG,lt2,18,79,3.8942,4.5552,30.0,4.5552,4.7604,4.9343,5.3418,0.434,0.696,94.8,v0307
noabs,EMG+NIRS,lt1,18,93,3.9398,4.8745,30.0,4.8745,5.1784,5.3903,5.7389,0.477,0.727,98.6,v0307
noabs,EMG+NIRS,lt2,18,93,3.6313,4.5035,30.0,4.5035,4.7195,4.8759,5.2244,0.448,0.703,79.8,v0307
noabs,EMG+NIRS+HRV,lt1,18,101,3.7042,4.7821,30.0,4.7821,5.1828,5.4454,5.7811,0.551,0.775,106.9,v0307
noabs,EMG+NIRS+HRV,lt2,18,101,3.2453,3.9691,30.0,3.9691,4.2487,4.5397,5.1232,0.653,0.83,92.7,v0307
noabs,EMG,lt1,18,79,4.4187,5.1562,30.0,5.1562,5.3802,5.5463,5.8007,0.259,0.646,136.6,v0308
noabs,EMG,lt2,18,79,3.6059,4.0785,30.0,4.0785,4.3083,4.6189,5.2353,0.552,0.757,82.7,v0308
noabs,EMG+NIRS,lt1,18,93,4.091,5.0434,30.0,5.0434,5.4349,5.6775,5.9926,0.437,0.732,123.9,v0308
noabs,EMG+NIRS,lt2,18,93,3.3594,4.0972,30.0,4.0972,4.4246,4.6584,5.0349,0.542,0.752,83.3,v0308
noabs,EMG+NIRS+HRV,lt1,18,101,3.8471,4.9626,30.0,4.9626,5.394,5.6465,5.9577,0.441,0.713,95.9,v0308
noabs,EMG+NIRS+HRV,lt2,18,101,3.117,3.9845,30.0,3.9845,4.3573,4.6052,5.0974,0.675,0.828,85.5,v0308
noabs,EMG,lt1,18,79,4.4658,4.9684,30.0,4.9684,5.1717,5.3168,5.6255,0.25,0.649,184.9,v0309
noabs,EMG,lt2,18,79,4.4615,4.6863,30.0,4.6863,4.7897,4.8896,5.1397,0.279,0.625,210.6,v0309
noabs,EMG+NIRS,lt1,18,93,3.9878,4.5301,30.0,4.5301,4.7665,4.9953,5.4334,0.447,0.734,165.0,v0309
noabs,EMG+NIRS,lt2,18,93,3.9258,4.3061,30.0,4.3061,4.4288,4.5695,4.9488,0.422,0.72,171.4,v0309
noabs,EMG+NIRS+HRV,lt1,18,101,4.0469,4.5062,30.0,4.5062,4.7315,4.9698,5.4792,0.421,0.722,174.4,v0309
noabs,EMG+NIRS+HRV,lt2,18,101,3.3278,3.6898,30.0,3.6898,3.8901,4.0891,4.6486,0.637,0.821,137.4,v0309
noabs,EMG,lt1,18,79,4.6646,5.1588,30.0,5.1588,5.356,5.4954,5.8072,0.247,0.631,219.3,v0310
noabs,EMG,lt2,18,79,4.0885,4.4776,30.0,4.4776,4.5899,4.6837,5.0596,0.362,0.664,159.7,v0310
noabs,EMG+NIRS,lt1,18,93,4.0706,4.656,30.0,4.656,4.9559,5.2156,5.6938,0.362,0.689,176.7,v0310
noabs,EMG+NIRS,lt2,18,93,2.9277,3.4789,30.0,3.4789,3.7871,4.0702,4.724,0.636,0.794,163.7,v0310
noabs,EMG+NIRS+HRV,lt1,18,101,4.1621,4.6424,30.0,4.6424,4.874,5.1137,5.5739,0.263,0.665,195.9,v0310
noabs,EMG+NIRS+HRV,lt2,18,101,3.2592,3.7815,30.0,3.7815,4.0901,4.3655,4.9302,0.629,0.808,163.7,v0310
noabs,EMG,lt1,18,79,4.541,4.6642,30.0,4.6642,4.7379,4.8279,5.1403,0.289,0.664,468.7,v0311
noabs,EMG,lt2,18,79,4.3386,4.4106,30.0,4.4106,4.4547,4.524,4.8034,0.346,0.649,379.7,v0311
noabs,EMG+NIRS,lt1,18,93,3.7694,3.9885,30.0,3.9885,4.1432,4.3263,4.8518,0.509,0.747,385.2,v0311
noabs,EMG+NIRS,lt2,18,93,4.0541,4.2038,30.0,4.2038,4.3081,4.4458,4.9587,0.416,0.67,416.6,v0311
noabs,EMG+NIRS+HRV,lt1,18,101,3.8677,4.0303,30.0,4.0303,4.1487,4.3026,4.7938,0.5,0.751,540.5,v0311
